t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,14.012500315,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98749968499672,1.0,0.0,0.0,-53.98749968499669,373.9874996849967,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,53.98749968499672,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,22.541666765,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54166676500003,1.0,22.54166676500003,351.44583291999663,0.0,0.0,0.0,0.0,0.0,0.0,22.541666765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54166676500003
3,0.1543,0.251,0.105,178.00000433,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00000433000328,1.0,110.00000433000328,241.44582858999337,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,178.00000433,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,110.00000433000328
4,0.1543,0.251,0.105,26.350000514,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35,1.0,26.35,215.09582807599335,0.0,0.0,0.0,0.0,0.0,0.0,26.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35
5,0.1543,0.251,0.105,43.370834547,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.629165452996716,1.0,0.0,0.0,-24.629165452996716,239.72499352899007,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,24.629165452996716,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,27.212500281,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21250028100002,1.0,27.21250028100002,212.51249324799005,0.0,0.0,0.0,0.0,0.0,0.0,27.212500281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21250028100002
7,0.1543,0.251,0.105,42.654167549,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819487,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.345832450996717,1.0,0.0,0.0,-25.345832450996717,237.85832569898676,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,25.345832450996717,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
8,0.1543,0.251,0.105,32.625000541,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.37499945899672,1.0,0.0,0.0,-35.37499945899672,273.2333251579835,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,35.37499945899672,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,80.95416842,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.954168420003285,1.0,12.954168420003285,260.2791567379802,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,80.95416842,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,12.954168420003285
10,0.1543,0.251,0.105,73.716667259,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.716666666666667,1.0,5.716666666666667,254.56248947897691,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,73.71666666666667,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,5.716666666666667
11,0.1543,0.251,0.105,69.825001118,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8250011180032857,1.0,1.8250011180032857,252.73748836097363,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,69.825001118,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,1.8250011180032857
12,0.1543,0.251,0.105,35.479167292,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819487,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.52083270799672,1.0,0.0,0.0,-32.52083270799672,285.25832106897036,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,32.52083270799672,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
13,0.1543,0.251,0.105,36.42916726,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.570832739996717,1.0,0.0,0.0,-31.570832739996717,316.8291538089671,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,31.570832739996717,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
14,0.1543,0.251,0.105,33.345834012,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819487,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65416598799672,1.0,0.0,0.0,-34.65416598799672,351.48331979696377,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,34.65416598799672,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
15,0.1543,0.251,0.105,59.295834523,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692047168,115.05922165820232,68.0,0.5910000000035853,0.338000000003376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.704165477000004,1.0,0.0,0.0,-8.704165477000004,360.1874852739638,0.0,-38.89001692047168,0.0,38.89001692047168,0.0,8.704165477000004,68.0,0.0,38.89001692047168,0.0,68.0,0.0,0.0,0.0,0.0
16,0.1543,0.251,0.105,48.145833945,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.854166054996718,1.0,0.0,0.0,-19.854166054996718,380.0416513289605,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,19.854166054996718,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
17,0.1543,0.251,0.105,59.070834142,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.37796098199864,97.63506978260466,60.325018846042816,0.619397430273227,0.3096025697337344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2541847040428138,1.0,0.0,0.0,-1.2541847040428138,381.2958360330033,0.0,-30.37796098199864,0.0,30.37796098199864,0.0,1.2541847040428138,60.325018846042816,0.0,30.37796098199864,0.0,60.325018846042816,0.0,0.0,0.0,0.0
18,0.1543,0.251,0.105,90.78750162,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.787501620003283,1.0,22.787501620003283,358.508334413,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,90.78750162,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,22.787501620003283
19,0.1543,0.251,0.105,50.379167398,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.620832601996717,1.0,0.0,0.0,-17.620832601996717,376.1291670149967,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,17.620832601996717,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
20,0.1543,0.251,0.105,62.400001488,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.67925240739757,102.34580613067368,62.400001487999994,0.6117199944979854,0.31728000550897595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,376.1291670149967,0.0,-32.67925240739757,0.0,32.67925240739757,0.0,0.0,62.400001488,0.0,32.67925240739757,0.0,62.400001487999994,0.0,0.0,0.0,0.0
21,0.1543,0.251,0.105,21.383333633,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.383333333333333,1.0,21.383333333333333,354.7458333819967,0.0,0.0,0.0,0.0,0.0,0.0,21.383333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.383333333333333
22,0.1543,0.251,0.105,14.170833602999998,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17083360300003,1.0,14.17083360300003,340.5749997789967,0.0,0.0,0.0,0.0,0.0,0.0,14.170833602999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17083360300003
23,0.1543,0.251,0.105,7.529166745,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.79936305732275,92.35668789808506,58.0,0.6280000000035855,0.30100000000337596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.470833255,1.0,0.0,0.0,-50.470833255,391.04583303399676,0.0,-27.79936305732275,0.0,27.79936305732275,0.0,50.470833255,58.0,0.0,27.79936305732275,0.0,58.0,0.0,0.0,0.0,0.0
24,0.1543,0.251,0.105,17.058333349,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05833334900004,1.0,17.05833334900004,373.9874996849967,0.0,0.0,0.0,0.0,0.0,0.0,17.058333349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05833334900004
