t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,47.316085158528665,320.0,1.0,27.799649570095916,96.90293073261714,59.31608515853195,0.6131304849077038,0.2858695150858697,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,-0.0,-80.0,400.0,96.90293073261714,-66.68966649056395,0.0,66.68966649056395,0.0,80.0,127.31608515852867,27.799649570095916,38.89001692046804,59.31608515853195,68.0,0.0,0.0,96.90293073261714,0.0
2,0.1543,0.251,0.105,37.44621405731088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.446214057310925,1.0,37.446214057310925,362.55378594268905,0.0,0.0,0.0,0.0,0.0,0.0,37.44621405731088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.446214057310925
3,0.1543,0.251,0.105,25.886884404744052,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.886884404744052,1.0,25.886884404744052,336.666901537945,0.0,0.0,0.0,0.0,0.0,0.0,25.886884404744052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.886884404744052
4,0.1543,0.251,0.105,50.64379471336946,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.326273765434138,95.48226934056109,59.37675445194884,0.6229060085313747,0.3060939914755867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.732959738579382,1.0,0.0,-0.0,-8.732959738579382,345.3998612765244,0.0,-29.326273765434138,0.0,29.326273765434138,0.0,8.732959738579382,59.37675445194884,0.0,29.326273765434138,0.0,59.37675445194884,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,121.93094050151782,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93094050152111,1.0,53.93094050152111,291.4689207750033,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,121.93094050151782,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,53.93094050152111
6,0.1543,0.251,0.105,60.89483394220605,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819487,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,7.105166057790669,1.0,0.0,-0.0,-7.105166057790669,298.57408683279397,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,7.105166057790669,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
7,0.1543,0.251,0.105,50.52317275893367,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819487,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.47682724106305,1.0,0.0,-0.0,-17.47682724106305,316.05091407385703,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,17.47682724106305,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
8,0.1543,0.251,0.105,22.322366635072974,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.322366635072996,1.0,22.322366635072996,293.72854743878406,0.0,0.0,0.0,0.0,0.0,0.0,22.322366635072974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.322366635072996
9,0.1543,0.251,0.105,26.798196893359222,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.890016920471695,115.05922165820235,68.0,0.5910000000035853,0.33800000000337604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.201803106640796,1.0,0.0,0.0,-41.201803106640796,334.93035054542486,0.0,-38.890016920471695,0.0,38.890016920471695,0.0,41.201803106640796,68.0,0.0,38.890016920471695,0.0,68.0,0.0,0.0,0.0,0.0
10,0.1543,0.251,0.105,11.252439104039858,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.252439104039894,1.0,11.252439104039894,323.677911441385,0.0,0.0,0.0,0.0,0.0,0.0,11.252439104039858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.252439104039894
