t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,4.426794031862734,320.0,1.0,37.218588640275634,117.03958691909793,68.0,0.5809999999942537,0.31799999999929374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57320596813569,1.0,0.0,0.0,-63.57320596813571,383.5732059681357,117.03958691909793,-37.218588640275634,0.0,37.218588640275634,0.0,63.57320596813569,68.0,37.218588640275634,0.0,68.0,0.0,0.0,0.0,117.03958691909793,0.0
2,0.1543,0.251,0.105,59.550061995533085,320.0,1.0,28.05343068285204,97.44548685025592,59.550061995533085,0.6122647706107998,0.28673522938277396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,383.5732059681357,97.44548685025592,-28.05343068285204,0.0,28.05343068285204,0.0,0.0,59.550061995533085,28.05343068285204,0.0,59.550061995533085,0.0,0.0,0.0,97.44548685025592,0.0
3,0.1543,0.251,0.105,94.5649603827552,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.564960382754805,1.0,26.564960382754805,357.0082455853809,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,94.5649603827552,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,26.564960382754805
4,0.1543,0.251,0.105,50.64379471336946,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.211964263796006,114.88753467339794,67.07192940759376,0.5844338611861752,0.3145661388073984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.428134694224298,1.0,0.0,0.0,-16.428134694224298,373.4363802796052,0.0,-36.211964263796006,0.0,36.211964263796006,0.0,16.428134694224298,67.07192940759376,0.0,36.211964263796006,0.0,67.07192940759376,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,96.30965212639605,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.309652126395648,1.0,28.309652126395648,345.12672815320957,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,96.30965212639605,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,28.309652126395648
6,0.1543,0.251,0.105,34.64480403573461,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35519596426579,1.0,0.0,0.0,-33.35519596426579,378.48192411747533,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,33.35519596426579,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0
7,0.1543,0.251,0.105,75.11244427008523,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027513,117.03958691909793,68.0,0.5809999999942761,0.31799999999929757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1124442700863,1.0,7.1124442700863,371.369479847389,0.0,-37.21858864027513,0.0,37.21858864027513,0.0,0.0,75.11244427008523,0.0,37.21858864027513,0.0,68.0,0.0,0.0,0.0,7.1124442700863
8,0.1543,0.251,0.105,48.80090849311462,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19909150688578,1.0,0.0,0.0,-19.19909150688578,390.5685713542748,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,19.19909150688578,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0
9,0.1543,0.251,0.105,51.73628070822568,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790355,93.85113268607915,58.0,0.6179999999942728,0.2809999999993009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2637192917741515,1.0,0.0,0.0,-6.2637192917741515,396.83229064604893,0.0,-26.372168284790355,0.0,26.372168284790355,0.0,6.2637192917741515,58.0,0.0,26.372168284790355,0.0,58.0,0.0,0.0,0.0,0.0
10,0.1543,0.251,0.105,69.50866865096788,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027513,117.03958691909793,68.0,0.5809999999942761,0.31799999999929757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5086686509689429,1.0,1.5086686509689429,395.32362199508,0.0,-37.21858864027513,0.0,37.21858864027513,0.0,0.0,69.50866865096788,0.0,37.21858864027513,0.0,68.0,0.0,0.0,0.0,1.5086686509689429
11,0.1543,0.251,0.105,30.013131422145626,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.013131422145676,1.0,30.013131422145676,365.31049057293427,0.0,0.0,0.0,0.0,0.0,0.0,30.013131422145626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.013131422145676
12,0.1543,0.251,0.105,30.938157099162424,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.938157099162424,1.0,30.938157099162424,334.37233347377185,0.0,0.0,0.0,0.0,0.0,0.0,30.938157099162424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.938157099162424
13,0.1543,0.251,0.105,30.73550312555708,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73550312555713,1.0,30.73550312555713,303.63683034821474,0.0,0.0,0.0,0.0,0.0,0.0,30.73550312555708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73550312555713
14,0.1543,0.251,0.105,39.35420282101217,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.645797178988225,1.0,0.0,0.0,-28.645797178988225,332.282627527203,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,28.645797178988225,68.0,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,0.0
15,0.1543,0.251,0.105,38.800487585386264,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790355,93.85113268607915,58.0,0.6179999999942728,0.2809999999993009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.199512414613565,1.0,0.0,0.0,-19.199512414613565,351.4821399418165,0.0,-26.372168284790355,0.0,26.372168284790355,0.0,19.199512414613565,58.0,0.0,26.372168284790355,0.0,58.0,0.0,0.0,0.0,0.0
16,0.1543,0.251,0.105,43.50519539657556,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790376,93.85113268607918,58.0,0.6179999999942728,0.280999999999301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.494804603424285,1.0,0.0,0.0,-14.494804603424285,365.9769445452408,0.0,-26.372168284790376,0.0,26.372168284790376,0.0,14.494804603424285,58.0,0.0,26.372168284790376,0.0,58.0,0.0,0.0,0.0,0.0
17,0.1543,0.251,0.105,79.03933793590109,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03933793590069,1.0,11.03933793590069,354.93760660934015,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,79.03933793590109,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,11.03933793590069
18,0.1543,0.251,0.105,58.94299659421233,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.39498203025238,96.03779602275827,58.94299659421233,0.6145109125956866,0.28448908739788714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,354.93760660934015,0.0,-27.39498203025238,0.0,27.39498203025238,0.0,0.0,58.94299659421233,0.0,27.39498203025238,0.0,58.94299659421233,0.0,0.0,0.0,0.0
19,0.1543,0.251,0.105,61.65257516248233,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.347424837518069,1.0,0.0,0.0,-6.347424837518069,361.2850314468582,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,6.347424837518069,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0
20,0.1543,0.251,0.105,45.78120903668678,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790348,93.85113268607913,58.0,0.6179999999942728,0.2809999999993009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21879096331304,1.0,0.0,0.0,-12.21879096331304,373.50382241017127,0.0,-26.372168284790348,0.0,26.372168284790348,0.0,12.21879096331304,58.0,0.0,26.372168284790348,0.0,58.0,0.0,0.0,0.0,0.0
21,0.1543,0.251,0.105,15.317672731983397,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.317672731983397,1.0,15.317672731983397,358.18614967818786,0.0,0.0,0.0,0.0,0.0,0.0,15.317672731983397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.317672731983397
22,0.1543,0.251,0.105,19.045761339026384,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.045761339026384,1.0,19.045761339026384,339.14038833916146,0.0,0.0,0.0,0.0,0.0,0.0,19.045761339026384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.045761339026384
23,0.1543,0.251,0.105,-23.879587687425243,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.879587687425243,1.0,0.0,0.0,-23.879587687425243,363.01997602658673,0.0,0.0,0.0,0.0,0.0,23.879587687425243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1543,0.251,0.105,-20.553229941549013,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.553229941549013,1.0,0.0,0.0,-20.553229941549013,383.5732059681357,0.0,0.0,0.0,0.0,0.0,20.553229941549013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
