t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,151.78628826127118,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.786288261274066,1.0,15.78628826127408,304.2137117387259,117.03958691910134,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,151.78628826127118,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,15.786288261274066
2,0.1543,0.251,0.105,160.7009078596006,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.700907859600278,1.0,24.700907859600278,279.5128038791256,117.03958691910428,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,160.7009078596006,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,24.700907859600278
3,0.1543,0.251,0.105,195.29041728599813,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,25.909582713998986,1.0,0.0,-0.0,-25.909582713998986,305.4223865931246,195.34841044851015,-76.10860556074476,0.0,76.10860556074476,0.0,25.909582713998986,221.2,37.21858864027672,38.89001692046804,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
4,0.1543,0.251,0.105,394.0458316442079,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.317999999996065,1.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.3380000000001399,1.0,0.0,1.0,174.0,162.46498599439482,1.07100000000252,1.0,0.0,0.0,0.0,84.04583164420791,1.0,84.04583164420791,221.3765549489167,279.5045729134952,-76.10860556074365,0.0,76.10860556074365,0.0,0.0,394.0458316442079,37.218588640276295,38.89001692046736,68.0,68.0,174.0,162.46498599439482,117.0395869191004,84.04583164420791
5,0.1543,0.251,0.105,266.3641061148016,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,130.36410611480449,121.11105159003218,1.0793537184264876,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,221.3765549489167,238.1506385091335,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,266.3641061148016,37.21858864027672,38.89001692046804,68.0,68.0,130.36410611480449,121.11105159003218,117.03958691910134,0.0
6,0.1543,0.251,0.105,281.6852398111608,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,145.68523981116368,135.6309594334846,1.0764206185071397,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,221.3765549489167,252.67054635258594,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,281.6852398111608,37.21858864027672,38.89001692046804,68.0,68.0,145.68523981116368,135.6309594334846,117.03958691910134,0.0
7,0.1543,0.251,0.105,266.28574870455805,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,130.28574870456094,121.03679191720796,1.0793687192820522,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.3765549489167,238.0763788363093,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,266.28574870455805,37.21858864027672,38.89001692046804,68.0,68.0,130.28574870456094,121.03679191720796,117.03958691910134,0.0
8,0.1543,0.251,0.105,268.41417368096984,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,132.41417368097274,123.05390991393594,1.078961250536568,1.0,0.0,0.0,0.0,0.0,1.0,0.0,221.3765549489167,240.09349683303728,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,268.41417368096984,37.21858864027672,38.89001692046804,68.0,68.0,132.41417368097274,123.05390991393594,117.03958691910134,0.0
9,0.1543,0.251,0.105,238.4739644706144,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,102.47396447061726,94.67943794836899,1.0846930473448568,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,221.3765549489167,211.71902486747032,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,238.4739644706144,37.21858864027672,38.89001692046804,68.0,68.0,102.47396447061726,94.67943794836899,117.03958691910134,0.0
10,0.1543,0.251,0.105,231.5940050226644,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,95.59400502266726,88.15926919775866,1.086010156698631,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,221.3765549489167,205.19885611686,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,231.5940050226644,37.21858864027672,38.89001692046804,68.0,68.0,95.59400502266726,88.15926919775866,117.03958691910134,0.0
