t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,141.65794546849713,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3420545315028676,1.0,0.0,-0.0,-1.3420545315028676,321.34205453150287,117.0395869191004,-75.313826735513,0.0,75.313826735513,0.0,1.3420545315028676,143.0,37.218588640276295,38.095238095238095,68.0,75.0,0.0,0.0,117.0395869191004,0.0
2,0.1543,0.251,0.105,146.05809396615078,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058093966150409,1.0,3.058093966150409,318.28396056535246,117.0395869191004,-75.313826735513,0.0,75.313826735513,0.0,0.0,146.05809396615078,37.218588640276295,38.095238095238095,68.0,75.0,0.0,0.0,117.0395869191004,3.058093966150409
3,0.1543,0.251,0.105,234.2658713048652,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,91.26587130486519,84.0574772571558,1.0868387408563185,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,318.28396056535246,201.0970641762562,-75.313826735513,0.0,75.313826735513,0.0,0.0,234.2658713048652,37.218588640276295,38.095238095238095,68.0,75.0,91.26587130486519,84.0574772571558,117.0395869191004,0.0
4,0.1543,0.251,0.105,377.81893254322233,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.317999999996065,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000002686,1.0,0.0,1.0,174.0,162.46498599439482,1.07100000000252,1.0,0.0,0.0,0.0,60.81893254322233,1.0,60.81893254322233,257.4650280221301,279.5045729134952,-75.31382673551073,0.0,75.31382673551073,0.0,0.0,377.81893254322233,37.218588640276295,38.095238095238095,68.0,75.0,174.0,162.46498599439482,117.0395869191004,60.81893254322233
5,0.1543,0.251,0.105,277.24856876614945,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,134.24856876614945,124.79237445011954,1.0786100712972888,1.0,0.0,0.0,1.0,0.0,0.0,0.0,257.4650280221301,241.83196136921993,-75.313826735513,0.0,75.313826735513,0.0,0.0,277.24856876614945,37.218588640276295,38.095238095238095,68.0,75.0,134.24856876614945,124.79237445011954,117.0395869191004,0.0
6,0.1543,0.251,0.105,282.5553396973427,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,139.55533969734267,129.8216253132948,1.0775941354208216,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,257.4650280221301,246.8612122323952,-75.313826735513,0.0,75.313826735513,0.0,0.0,282.5553396973427,37.218588640276295,38.095238095238095,68.0,75.0,139.55533969734267,129.8216253132948,117.0395869191004,0.0
7,0.1543,0.251,0.105,254.46961668038313,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,111.46961668038313,103.20465831822897,1.0829709067191133,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,257.4650280221301,220.24424523732938,-75.313826735513,0.0,75.313826735513,0.0,0.0,254.46961668038313,37.218588640276295,38.095238095238095,68.0,75.0,111.46961668038313,103.20465831822897,117.0395869191004,0.0
8,0.1543,0.251,0.105,256.77642666862545,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,113.77642666862545,105.3908325991566,1.0825292876898327,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,257.4650280221301,222.430419518257,-75.313826735513,0.0,75.313826735513,0.0,0.0,256.77642666862545,37.218588640276295,38.095238095238095,68.0,75.0,113.77642666862545,105.3908325991566,117.0395869191004,0.0
9,0.1543,0.251,0.105,244.07998389809563,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,101.07998389809563,93.35835624190317,1.0849599129950018,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,257.4650280221301,210.39794316100358,-75.313826735513,0.0,75.313826735513,0.0,0.0,244.07998389809563,37.218588640276295,38.095238095238095,68.0,75.0,101.07998389809563,93.35835624190317,117.0395869191004,0.0
10,0.1543,0.251,0.105,204.97773707045263,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,23.22226292954737,1.0,0.0,0.0,-23.22226292954737,280.6872909516775,195.3484104485092,-75.313826735513,0.0,75.313826735513,0.0,23.22226292954737,228.2,37.218588640276295,38.095238095238095,68.0,75.0,85.2,78.30882352940881,117.0395869191004,0.0
