t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,88.13061207321796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,85.86938792678204,1.0,0.0,0.0,-85.86938792678204,85.86938792678204,162.46498599439482,0.0,0.0,0.0,0.0,85.86938792678204,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
2,0.1543,0.251,0.105,106.3100249930061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,67.6899750069939,1.0,0.0,0.0,-67.6899750069939,153.55936293377596,162.46498599439482,0.0,0.0,0.0,0.0,67.6899750069939,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
3,0.1543,0.251,0.105,210.6748063564434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,36.67480635644341,1.0,36.67480635644341,116.88455657733255,162.46498599439482,0.0,0.0,0.0,0.0,0.0,210.6748063564434,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,36.67480635644341
4,0.1543,0.251,0.105,146.48074158117606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146.48074158117606,136.38486006634886,1.0762683264870674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,116.88455657733255,136.38486006634886,0.0,0.0,0.0,0.0,0.0,146.48074158117606,0.0,0.0,0.0,0.0,146.48074158117606,136.38486006634886,0.0,0.0
5,0.1543,0.251,0.105,158.7089092436237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158.7089092436237,147.9735499813267,1.0739273484435807,1.0,0.0,0.0,1.0,0.0,0.0,0.0,116.88455657733255,147.9735499813267,0.0,0.0,0.0,0.0,0.0,158.7089092436237,0.0,0.0,0.0,0.0,158.7089092436237,147.9735499813267,0.0,0.0
6,0.1543,0.251,0.105,156.81798849107926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,17.182011508920738,1.0,0.0,0.0,-17.182011508920738,134.06656808625328,162.46498599439482,0.0,0.0,0.0,0.0,17.182011508920738,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
7,0.1543,0.251,0.105,155.5721773995898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.5721773995898,145.00085499624097,1.0745278489092178,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.06656808625328,145.00085499624097,0.0,0.0,0.0,0.0,0.0,155.5721773995898,0.0,0.0,0.0,0.0,155.5721773995898,145.00085499624097,0.0,0.0
8,0.1543,0.251,0.105,147.4562304387438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147.4562304387438,137.30933527783822,1.0760815774940644,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.06656808625328,137.30933527783822,0.0,0.0,0.0,0.0,0.0,147.4562304387438,0.0,0.0,0.0,0.0,147.4562304387438,137.30933527783822,0.0,0.0
9,0.1543,0.251,0.105,145.68736008059668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,145.68736008059668,135.63296882243588,1.0764202125851512,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.06656808625328,135.63296882243588,0.0,0.0,0.0,0.0,0.0,145.68736008059668,0.0,0.0,0.0,0.0,145.68736008059668,135.63296882243588,0.0,0.0
10,0.1543,0.251,0.105,133.10499153939045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.10499153939045,123.70860112932688,1.0788289993554272,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.06656808625328,123.70860112932688,0.0,0.0,0.0,0.0,0.0,133.10499153939045,0.0,0.0,0.0,0.0,133.10499153939045,123.70860112932688,0.0,0.0
