t  ,GAS_PRICE ,POWER_PRICE ,HEAT_PRICE ,heat_demand        ,chp1.bin ,chp1.power ,chp1.gas ,chp1.heat ,chp1.eta_th ,chp1.eta_el ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power ,chp2.gas ,chp2.heat ,chp2.eta_th ,chp2.eta_el ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat       ,boiler1.gas        ,boiler1.eta_th     ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,ngas_grid.gas_balance ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin ,arc01_expanded.power ,arc03_expanded.power ,arc02_expanded.heat ,arc04_expanded.heat ,arc06_expanded.heat ,arc07_expanded.gas ,arc08_expanded.gas ,arc09_expanded.heat
 1 ,   0.1543 ,      0.105 ,      0.05 , 86.89020582132288 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,0.0      ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,-0.0    ,        1.0 ,109.99838591885252 ,101.81036625752114 ,1.083252561242242  ,       1.0 ,       0.0 ,       23.10818009752964  ,                     1.0 ,           0.0               ,0.0                         ,-23.10818009752964         ,        23.10818009752964   ,   101.81036625752114 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,   23.10818009752964  ,   109.99838591885252 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 109.99838591885252 ,101.81036625752114 ,               0.0 ,  0.0
 2 ,   0.1543 ,      0.105 ,      0.05 ,102.67012913651094 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,102.67012913651094 , 94.86534409130634 ,1.0846554932839063 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,-0.0                        ,0.0                        ,        23.10818009752964   ,    94.86534409130634 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   102.67012913651094 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 102.67012913651094 , 94.86534409130634 ,               0.0 ,  0.0
 3 ,   0.1543 ,      0.105 ,      0.05 ,197.10818009752964 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          23.10818009752964  ,1.0                         ,23.10818009752964          ,         0.0                ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   197.10818009752964 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 , 23.10818009752964
 4 ,   0.1543 ,      0.105 ,      0.05 ,131.41110425250923 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,       42.58889574749077  ,                     1.0 ,           0.0               ,-0.0                        ,-42.58889574749077         ,        42.58889574749077   ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,   42.58889574749077  ,   174.0              ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 ,  0.0
 5 ,   0.1543 ,      0.105 ,      0.05 ,134.36278677058627 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 , 91.7738910230955  , 84.53892984660182 ,1.0867414848146277 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          42.58889574749077  ,1.0                         ,42.58889574749077          ,         0.0                ,    84.53892984660182 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   134.36278677058627 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 ,  91.7738910230955  , 84.53892984660182 ,               0.0 , 42.58889574749077
 6 ,   0.1543 ,      0.105 ,      0.05 ,133.35488413447985 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,       40.645115865520154 ,                     1.0 ,           0.0               ,-0.0                        ,-40.645115865520154        ,        40.645115865520154  ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,   40.645115865520154 ,   174.0              ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 ,  0.0
 7 ,   0.1543 ,      0.105 ,      0.05 ,148.67082790766605 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,108.0257120421459  , 99.94085428388875 ,1.0836302127726924 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          40.645115865520154 ,1.0                         ,40.645115865520154         ,         0.0                ,    99.94085428388875 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   148.67082790766605 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 108.0257120421459  , 99.94085428388875 ,               0.0 , 40.645115865520154
 8 ,   0.1543 ,      0.105 ,      0.05 ,155.76612945938308 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,155.76612945938308 ,145.1846642423489  ,1.0744907184473205 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,0.0                         ,0.0                        ,         0.0                ,   145.1846642423489  ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   155.76612945938308 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 155.76612945938308 ,145.1846642423489  ,               0.0 ,  0.0
 9 ,   0.1543 ,      0.105 ,      0.05 ,149.41335246313022 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,149.41335246313022 ,139.16410869054167 ,1.0757069032326392 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,0.0                         ,0.0                        ,         0.0                ,   139.16410869054167 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   149.41335246313022 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 149.41335246313022 ,139.16410869054167 ,               0.0 ,  0.0
10 ,   0.1543 ,      0.105 ,      0.05 ,132.52799498318225 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,       41.47200501681775  ,                     1.0 ,           0.0               ,-0.0                        ,-41.47200501681775         ,        41.47200501681775   ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,   41.47200501681775  ,   174.0              ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 ,  0.0
11 ,   0.1543 ,      0.105 ,      0.05 ,128.1881334012233  ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 , 89.35770689990215 , 82.24910120226872 ,1.08720404258596   ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          38.83042650132114  ,1.0                         ,38.83042650132114          ,         2.6415785154966045 ,    82.24910120226872 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   128.1881334012233  ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 ,  89.35770689990215 , 82.24910120226872 ,               0.0 , 38.83042650132114
12 ,   0.1543 ,      0.105 ,      0.05 ,123.8851574175104  ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,123.8851574175104  ,114.9709225453048  ,1.080594057689571  ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,-0.0                        ,0.0                        ,         2.6415785154966045 ,   114.9709225453048  ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   123.8851574175104  ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 123.8851574175104  ,114.9709225453048  ,               0.0 ,  0.0
13 ,   0.1543 ,      0.105 ,      0.05 ,120.24610785605115 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,120.24610785605115 ,111.52217878277891 ,1.0812907225830934 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,-0.0                        ,0.0                        ,         2.6415785154966045 ,   111.52217878277891 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   120.24610785605115 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 120.24610785605115 ,111.52217878277891 ,               0.0 ,  0.0
14 ,   0.1543 ,      0.105 ,      0.05 ,129.2256067900492  ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,129.2256067900492  ,120.03209061998282 ,1.079571674363747  ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,-0.0                        ,0.0                        ,         2.6415785154966045 ,   120.03209061998282 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   129.2256067900492  ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 129.2256067900492  ,120.03209061998282 ,               0.0 ,  0.0
15 ,   0.1543 ,      0.105 ,      0.05 ,144.84779804164918 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,144.84779804164918 ,134.8373120730091  ,1.076580939552067  ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,0.0                         ,0.0                        ,         2.6415785154966045 ,   134.8373120730091  ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   144.84779804164918 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 144.84779804164918 ,134.8373120730091  ,               0.0 ,  0.0
16 ,   0.1543 ,      0.105 ,      0.05 ,166.56653578784764 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,166.56653578784764 ,155.4202582701206  ,1.072423073091646  ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,-0.0                        ,0.0                        ,         2.6415785154966045 ,   155.4202582701206  ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   166.56653578784764 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 166.56653578784764 ,155.4202582701206  ,               0.0 ,  0.0
17 ,   0.1543 ,      0.105 ,      0.05 ,169.65940464198837 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,        4.340595358011626 ,                     1.0 ,           0.0               ,-0.0                        ,-4.340595358011626         ,         6.982173873508231  ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    4.340595358011626 ,   174.0              ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 ,  0.0
18 ,   0.1543 ,      0.105 ,      0.05 ,180.98217387350823 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,-0.0     ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,0.0     ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,           6.982173873508231 ,1.0                         ,6.982173873508231          ,         0.0                ,   162.46498599439482 ,                     0.0 ,                    0.0 ,                    0.0 ,                   0.0 ,    0.0               ,   180.98217387350823 ,                 0.0 ,                 0.0 ,                0.0 ,                0.0 , 174.0              ,162.46498599439482 ,               0.0 ,  6.982173873508231
