t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,115.09819676627974,320.0,1.0,37.218588640275634,117.03958691909793,68.0,0.5809999999942537,0.31799999999929374,1.0,0.0,1.0,37.218588640275634,117.03958691909793,68.0,0.5809999999942537,0.31799999999929374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.901803233717104,1.0,0.0,0.0,-20.90180323371709,340.9018032337171,117.03958691909793,-74.43717728055127,0.0,74.43717728055127,0.0,20.901803233717104,136.0,37.218588640275634,37.218588640275634,68.0,68.0,0.0,0.0,117.03958691909793,0.0
2,0.1543,0.251,0.105,138.89032490302077,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.890324903019973,1.0,2.890324903019973,338.0114783306971,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,138.89032490302077,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,2.890324903019973
3,0.1543,0.251,0.105,275.27240084627414,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,109.41130556911855,101.25398754927551,1.0833649527651887,1.0,0.0,0.0,0.0,29.86109527715479,1.0,29.86109527715479,308.1503830535423,218.29357446837685,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,275.27240084627414,37.21858864027672,37.21858864027672,68.0,68.0,109.41130556911855,101.25398754927551,117.03958691910134,29.86109527715479
4,0.1543,0.251,0.105,191.26946732977447,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.269467329773676,1.0,55.269467329773676,252.88091572376868,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,191.26946732977447,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,55.269467329773676
5,0.1543,0.251,0.105,207.0948218381289,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,14.105178161871905,1.0,0.0,0.0,-14.105178161871905,266.98609388564057,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,14.105178161871905,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
6,0.1543,0.251,0.105,203.75333223740265,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,17.446667762598153,1.0,0.0,0.0,-17.446667762598153,284.43276164823874,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,17.446667762598153,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
7,0.1543,0.251,0.105,200.25838105081868,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,20.941618949182114,1.0,0.0,0.0,-20.941618949182114,305.37438059742084,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,20.941618949182114,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
8,0.1543,0.251,0.105,187.7182568280963,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,33.48174317190451,1.0,0.0,0.0,-33.48174317190451,338.85612376932534,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,33.48174317190451,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
9,0.1543,0.251,0.105,183.58081785643543,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,37.61918214356537,1.0,0.0,0.0,-37.61918214356537,376.4753059128907,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,37.61918214356537,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
10,0.1543,0.251,0.105,165.74976194181525,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.749761941814455,1.0,29.749761941814455,346.72554397107626,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,165.74976194181525,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,29.749761941814455
