t  ,GAS_PRICE ,POWER_PRICE ,HEAT_PRICE ,heat_demand        ,heat_storage1.initial_soc ,chp1.bin ,chp1.power        ,chp1.gas           ,chp1.heat ,chp1.eta_th        ,chp1.eta_el       ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power        ,chp2.gas           ,chp2.heat ,chp2.eta_th        ,chp2.eta_el       ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat       ,boiler1.gas        ,boiler1.eta_th     ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,ngas_grid.gas_balance ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin ,arc01_expanded.power ,arc02_expanded.power ,arc03_expanded.heat ,arc04_expanded.heat ,arc05_expanded.heat ,arc06_expanded.gas ,arc07_expanded.gas ,arc08_expanded.heat
 1 ,   0.1543 ,      0.251 ,     0.105 ,124.98977175223166 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,      11.010228247769135  ,                     1.0 ,          0.0                ,                        0.0 ,-11.010228247769135        ,         331.01022824776913 ,   117.03958691910134 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,  11.010228247769135  ,   136.0              ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,   0.0              ,  0.0              ,117.03958691910134 , 0.0
 2 ,   0.1543 ,      0.251 ,     0.105 ,145.55580401563068 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,       0.0                ,                     0.0 ,          9.555804015630372  ,                        1.0 ,9.555804015630372          ,         321.45442423213876 ,   117.03958691910134 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,   0.0                ,   145.55580401563068 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,   0.0              ,  0.0              ,117.03958691910134 , 9.555804015630372
 3 ,   0.1543 ,      0.251 ,     0.105 ,275.34757457519004 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,139.34757457518924 ,129.62472536538374 ,1.0776339102752879 ,       1.0 ,       0.0 ,       0.0                ,                     0.0 ,          0.0                ,                        1.0 ,0.0                        ,         321.45442423213876 ,   246.66431228448508 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,   0.0                ,   275.34757457519004 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 , 139.34757457518924 ,129.62472536538374 ,117.03958691910134 , 0.0
 4 ,   0.1543 ,      0.251 ,     0.105 ,181.00211485371895 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,       0.0                ,                     0.0 ,         45.002114853718574  ,                        1.0 ,45.002114853718574         ,         276.4523093784202  ,   117.03958691910134 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,   0.0                ,   181.00211485371895 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,   0.0              ,  0.0              ,117.03958691910134 ,45.002114853718574
 5 ,   0.1543 ,      0.251 ,     0.105 ,182.70854845981543 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 94.50522813348996 , 87.12743040526175 ,1.0862185937157034 ,       1.0 ,       0.0 ,      47.79667967367533   ,                     1.0 ,          0.0                ,                        0.0 ,-47.79667967367533         ,         324.2489890520955  ,   204.1670173243631  ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,  47.79667967367533   ,   230.50522813349076 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,  94.50522813348996 , 87.12743040526175 ,117.03958691910134 , 0.0
 6 ,   0.1543 ,      0.251 ,     0.105 ,178.58838689263337 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,       0.0                ,                     0.0 ,         42.58838689263299   ,                        1.0 ,42.58838689263299          ,         281.66060215946254 ,   117.03958691910134 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,   0.0                ,   178.58838689263337 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,   0.0              ,  0.0              ,117.03958691910134 ,42.58838689263299
 7 ,   0.1543 ,      0.251 ,     0.105 ,195.4773022704869  ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 85.2              , 78.30882352940881 ,1.08800000000252   ,       1.0 ,       0.0 ,      25.72269772951391   ,                     1.0 ,          0.0                ,                        0.0 ,-25.72269772951391         ,         307.38329988897647 ,   195.34841044851015 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,  25.72269772951391   ,   221.2              ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,  85.2              , 78.30882352940881 ,117.03958691910134 , 0.0
 8 ,   0.1543 ,      0.251 ,     0.105 ,200.11534958005032 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 85.2              , 78.30882352940881 ,1.08800000000252   ,       1.0 ,       0.0 ,      21.084650419950478  ,                     1.0 ,          0.0                ,                        0.0 ,-21.084650419950478        ,         328.46795030892696 ,   195.34841044851015 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,  21.084650419950478  ,   221.2              ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,  85.2              , 78.30882352940881 ,117.03958691910134 , 0.0
 9 ,   0.1543 ,      0.251 ,     0.105 ,186.4453130916542  ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 85.2              , 78.30882352940881 ,1.08800000000252   ,       1.0 ,       0.0 ,      34.754686908346585  ,                     1.0 ,          0.0                ,                        0.0 ,-34.754686908346585        ,         363.22263721727353 ,   195.34841044851015 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,  34.754686908346585  ,   221.2              ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,  85.2              , 78.30882352940881 ,117.03958691910134 , 0.0
10 ,   0.1543 ,      0.251 ,     0.105 ,160.56926082393596 ,                    320.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,       0.0                ,                     0.0 ,         24.569260823935586  ,                        1.0 ,24.569260823935586         ,         338.65337639333796 ,   117.03958691910134 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,                   0.0 ,   0.0                ,   160.56926082393596 ,   37.21858864027672 ,   37.21858864027672 ,               68.0 ,               68.0 ,   0.0              ,  0.0              ,117.03958691910134 ,24.569260823935586
