t  ,GAS_PRICE ,POWER_PRICE ,HEAT_PRICE ,heat_demand         ,heat_storage1.initial_soc ,chp1.bin ,chp1.power         ,chp1.gas           ,chp1.heat         ,chp1.eta_th        ,chp1.eta_el         ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power         ,chp2.gas           ,chp2.heat          ,chp2.eta_th        ,chp2.eta_el         ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat ,boiler1.gas ,boiler1.eta_th ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,ngas_grid.gas_balance ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin ,arc01_expanded.power ,arc02_expanded.power ,arc03_expanded.heat ,arc04_expanded.heat ,arc05_expanded.heat ,arc06_expanded.gas ,arc07_expanded.gas ,arc08_expanded.heat
 1 ,   0.1543 ,      0.251 ,     0.105 , 43.23253744820239  ,                    320.0 ,     1.0 ,34.216882424790086 ,110.62226904670462 ,65.2325374482024  ,0.5912396114359233 ,0.30776038855765037 ,    1.0 ,    0.0 ,     1.0 ,26.372168284790547 , 93.85113268607955 ,58.0               ,0.6179999999942722 ,0.28099999999930153 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,     80.0                 ,                     1.0 ,          0.0                ,                        0.0 ,-80.0                      ,         400.0              ,   110.62226904670462 ,-60.58905070958063       ,                    0.0 ,     60.58905070958063  ,                   0.0 , 80.0                 ,  123.2325374482024   ,  34.216882424790086 ,  26.372168284790547 ,  65.2325374482024  , 58.0               ,                0.0 ,               0.0 ,110.62226904670462 , 0.0
 2 ,   0.1543 ,      0.251 ,     0.105 , 49.80368966421722  ,                    320.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,         49.80368966421722   ,                        1.0 ,49.80368966421722          ,         350.19631033578275 ,     0.0              ,0.0                      ,                    0.0 ,      0.0               ,                   0.0 ,  0.0                 ,   49.80368966421722  ,   0.0               ,   0.0               ,   0.0              ,  0.0               ,                0.0 ,               0.0 ,  0.0              ,49.80368966421722
 3 ,   0.1543 ,      0.251 ,     0.105 ,103.23696638860196  ,                    320.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0               ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,         35.23696638860196   ,                        1.0 ,35.23696638860196          ,         314.9593439471808  ,     0.0              ,-37.218588640276295      ,                    0.0 ,     37.218588640276295 ,                   0.0 ,  0.0                 ,  103.23696638860196  ,   0.0               ,  37.218588640276295 ,   0.0              , 68.0               ,                0.0 ,               0.0 ,  0.0              ,35.23696638860196
 4 ,   0.1543 ,      0.251 ,     0.105 , 67.01630690821528  ,                    320.0 ,     1.0 ,26.372168284790547 , 93.85113268607955 ,58.0              ,0.6179999999942722 ,0.28099999999930153 ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,          9.016306908215284  ,                        1.0 ,9.016306908215284          ,         305.9430370389655  ,    93.85113268607955 ,-26.372168284790547      ,                    0.0 ,     26.372168284790547 ,                   0.0 ,  0.0                 ,   67.01630690821528  ,  26.372168284790547 ,   0.0               ,  58.0              ,  0.0               ,                0.0 ,               0.0 , 93.85113268607955 , 9.016306908215284
 5 ,   0.1543 ,      0.251 ,     0.105 , 76.35427735256178  ,                    320.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0              ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,          8.35427735256178   ,                        1.0 ,8.35427735256178           ,         297.5887596864037  ,   117.0395869191004  ,-37.218588640276295      ,                    0.0 ,     37.218588640276295 ,                   0.0 ,  0.0                 ,   76.35427735256178  ,  37.218588640276295 ,   0.0               ,  68.0              ,  0.0               ,                0.0 ,               0.0 ,117.0395869191004  , 8.35427735256178
 6 ,   0.1543 ,      0.251 ,     0.105 , 71.5362317258457   ,                    320.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0              ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0               ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,     64.4637682741543     ,                     1.0 ,          0.0                ,                        0.0 ,-64.4637682741543          ,         362.052527960558   ,   117.0395869191004  ,-74.43717728055259       ,                    0.0 ,     74.43717728055259  ,                   0.0 , 64.4637682741543     ,  136.0               ,  37.218588640276295 ,  37.218588640276295 ,  68.0              , 68.0               ,                0.0 ,               0.0 ,117.0395869191004  , 0.0
 7 ,   0.1543 ,      0.251 ,     0.105 , 71.12055876569818  ,                    320.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,         71.12055876569818   ,                        1.0 ,71.12055876569818          ,         290.9319691948598  ,     0.0              ,0.0                      ,                    0.0 ,      0.0               ,                   0.0 ,  0.0                 ,   71.12055876569818  ,   0.0               ,   0.0               ,   0.0              ,  0.0               ,                0.0 ,               0.0 ,  0.0              ,71.12055876569818
 8 ,   0.1543 ,      0.251 ,     0.105 , 63.4581086930931   ,                    320.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,      0.0                 ,                     0.0 ,         63.4581086930931    ,                        1.0 ,63.4581086930931           ,         227.4738605017667  ,     0.0              ,0.0                      ,                    0.0 ,      0.0               ,                   0.0 ,  0.0                 ,   63.4581086930931   ,   0.0               ,   0.0               ,   0.0              ,  0.0               ,                0.0 ,               0.0 ,  0.0              ,63.4581086930931
 9 ,   0.1543 ,      0.251 ,     0.105 , 59.03278961511951  ,                    320.0 ,     1.0 ,26.37216828479051  , 93.85113268607947 ,58.0              ,0.6179999999942722 ,0.2809999999993015  ,    1.0 ,    0.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0               ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,     66.96721038488045    ,                     1.0 ,          0.0                ,                        0.0 ,-66.96721038488045         ,         294.44107088664714 ,    93.85113268607947 ,-63.590756925066806      ,                    0.0 ,     63.590756925066806 ,                   0.0 , 66.96721038488045    ,  126.0               ,  26.37216828479051  ,  37.218588640276295 ,  58.0              , 68.0               ,                0.0 ,               0.0 , 93.85113268607947 , 0.0
10 ,   0.1543 ,      0.251 ,     0.105 , 54.294075742514494 ,                    320.0 ,     1.0 ,37.218588640276295 ,117.0395869191004  ,68.0              ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0               ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,     13.705924257485506   ,                     1.0 ,          0.0                ,                        0.0 ,-13.705924257485506        ,         308.14699514413263 ,   117.0395869191004  ,-37.218588640276295      ,                    0.0 ,     37.218588640276295 ,                   0.0 , 13.705924257485506   ,   68.0               ,  37.218588640276295 ,   0.0               ,  68.0              ,  0.0               ,                0.0 ,               0.0 ,117.0395869191004  , 0.0
