t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,141.65794546849713,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.657945468496337,1.0,5.657945468496337,314.34205453150366,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,141.65794546849713,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,5.657945468496337
2,0.1543,0.251,0.105,146.05809396615078,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.058093966150352,1.0,10.058093966150352,304.2839605653533,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,146.05809396615078,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,10.058093966150352
3,0.1543,0.251,0.105,234.2658713048652,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,98.26587130486439,90.69140898299852,1.0854986507662285,1.0,0.0,0.0,1.0,0.0,0.0,0.0,304.2839605653533,207.73099590209986,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,234.2658713048652,37.21858864027672,37.21858864027672,68.0,68.0,98.26587130486439,90.69140898299852,117.03958691910134,0.0
4,0.1543,0.251,0.105,377.81893254322233,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,120.43763527808977,111.70369018869762,1.0812540563118949,1.0,0.0,0.0,0.0,121.38129726513176,1.0,121.38129726513176,182.90266330022155,228.74327710779897,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,377.81893254322233,37.21858864027672,37.21858864027672,68.0,68.0,120.43763527808977,111.70369018869762,117.03958691910134,121.38129726513176
5,0.1543,0.251,0.105,277.24856876614945,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,141.24856876614865,131.42630617596228,1.0772699812071989,1.0,0.0,0.0,1.0,0.0,0.0,0.0,182.90266330022155,248.46589309506362,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,277.24856876614945,37.21858864027672,37.21858864027672,68.0,68.0,141.24856876614865,131.42630617596228,117.03958691910134,0.0
6,0.1543,0.251,0.105,282.5553396973427,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,146.55533969734188,136.45555703913752,1.0762540453307317,1.0,0.0,0.0,1.0,0.0,0.0,0.0,182.90266330022155,253.49514395823886,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,282.5553396973427,37.21858864027672,37.21858864027672,68.0,68.0,146.55533969734188,136.45555703913752,117.03958691910134,0.0
7,0.1543,0.251,0.105,254.46961668038313,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,118.46961668038233,109.83859004407171,1.0816308166290234,1.0,0.0,0.0,0.0,0.0,1.0,0.0,182.90266330022155,226.87817696317305,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,254.46961668038313,37.21858864027672,37.21858864027672,68.0,68.0,118.46961668038233,109.83859004407171,117.03958691910134,0.0
8,0.1543,0.251,0.105,256.77642666862545,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,120.77642666862465,112.02476432499932,1.0811891975997427,1.0,0.0,0.0,1.0,0.0,0.0,0.0,182.90266330022155,229.06435124410066,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,256.77642666862545,37.21858864027672,37.21858864027672,68.0,68.0,120.77642666862465,112.02476432499932,117.03958691910134,0.0
9,0.1543,0.251,0.105,244.07998389809563,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,108.07998389809484,99.99228796774591,1.0836198229049119,1.0,0.0,0.0,1.0,0.0,0.0,0.0,182.90266330022155,217.03187488684725,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,244.07998389809563,37.21858864027672,37.21858864027672,68.0,68.0,108.07998389809484,99.99228796774591,117.03958691910134,0.0
10,0.1543,0.251,0.105,204.97773707045263,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,16.222262929548165,1.0,0.0,0.0,-16.222262929548165,199.1249262297697,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,16.222262929548165,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
11,0.1543,0.251,0.105,203.19881629705037,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,18.001183702950428,1.0,0.0,0.0,-18.001183702950428,217.1261099327201,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,18.001183702950428,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
12,0.1543,0.251,0.105,211.80511618201973,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,9.394883817981068,1.0,0.0,0.0,-9.394883817981068,226.52099375070117,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,9.394883817981068,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
13,0.1543,0.251,0.105,182.2391797819519,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,38.96082021804891,1.0,0.0,0.0,-38.96082021804891,265.4818139687501,195.34841044851015,-74.43717728055344,0.0,74.43717728055344,0.0,38.96082021804891,221.2,37.21858864027672,37.21858864027672,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
