t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,47.316085158528665,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,27.7996495700919,96.90293073260858,59.31608515852825,0.6131304849077177,0.28586951508585606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,-80.0,400.0,117.03958691910134,-65.01823821036862,0.0,65.01823821036862,0.0,80.0,127.31608515852865,37.21858864027672,27.7996495700919,68.0,59.31608515852825,0.0,0.0,117.03958691910134,0.0
2,0.1543,0.251,0.105,37.44621405731088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4462140573109,1.0,37.4462140573109,362.5537859426891,0.0,0.0,0.0,0.0,0.0,0.0,37.44621405731088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4462140573109
3,0.1543,0.251,0.105,163.24303636076635,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.243036360765558,1.0,27.243036360765558,335.3107495819236,117.03958691910134,-74.43717728055344,0.0,74.43717728055344,0.0,0.0,163.24303636076635,37.21858864027672,37.21858864027672,68.0,68.0,0.0,0.0,117.03958691910134,27.243036360765558
4,0.1543,0.251,0.105,81.41188739120258,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.411887391202185,1.0,13.411887391202185,321.8988621907214,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,81.41188739120258,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,13.411887391202185
5,0.1543,0.251,0.105,70.68836375127425,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6883637512738545,1.0,2.6883637512738545,319.2104984394475,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,70.68836375127425,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,2.6883637512738545
6,0.1543,0.251,0.105,87.14486384867749,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14486384867709,1.0,19.14486384867709,300.0656345907704,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,87.14486384867749,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,19.14486384867709
7,0.1543,0.251,0.105,25.93390124778211,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93390124778216,1.0,25.93390124778216,274.13173334298824,0.0,0.0,0.0,0.0,0.0,0.0,25.93390124778211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93390124778216
8,0.1543,0.251,0.105,48.80090849311462,320.0,1.0,37.21858864027672,117.03958691910131,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19909150688578,1.0,0.0,0.0,-19.19909150688578,293.33082484987403,117.03958691910131,-37.21858864027672,0.0,37.21858864027672,0.0,19.19909150688578,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910131,0.0
9,0.1543,0.251,0.105,26.798196893359222,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79819689335929,1.0,26.79819689335929,266.5326279565147,0.0,0.0,0.0,0.0,0.0,0.0,26.798196893359222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79819689335929
10,0.1543,0.251,0.105,40.380553877503864,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790547,93.85113268607955,58.0,0.6179999999942722,0.28099999999930153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.619446122496136,1.0,0.0,0.0,-17.619446122496136,284.15207407901084,0.0,-26.372168284790547,0.0,26.372168284790547,0.0,17.619446122496136,58.0,0.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,0.0
