t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,5.559557195027181,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.440442804973216,1.0,0.0,0.0,-62.4404428049732,382.4404428049732,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,62.440442804973216,68.0,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,49.34710631653783,320.0,1.0,26.372168284790547,93.85113268607955,58.0,0.6179999999942722,0.28099999999930153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.652893683462167,1.0,0.0,0.0,-8.652893683462167,391.0933364884354,93.85113268607955,-26.372168284790547,0.0,26.372168284790547,0.0,8.652893683462167,58.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,93.85113268607955,0.0
3,0.1543,0.251,0.105,95.48301447282147,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48301447282107,1.0,27.48301447282107,363.6103220156143,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,95.48301447282147,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,27.48301447282107
4,0.1543,0.251,0.105,56.749591780486476,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.37216828479044,93.85113268607932,58.0,0.6179999999942725,0.2809999999993012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2504082195134316,1.0,0.0,0.0,-1.2504082195134316,364.86073023512773,0.0,-26.37216828479044,0.0,26.37216828479044,0.0,1.2504082195134316,58.0,0.0,26.37216828479044,0.0,58.0,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,49.50375031353054,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.37216828479044,93.85113268607932,58.0,0.6179999999942725,0.2809999999993012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496249686469369,1.0,0.0,0.0,-8.496249686469369,373.3569799215971,0.0,-26.37216828479044,0.0,26.37216828479044,0.0,8.496249686469369,58.0,0.0,26.37216828479044,0.0,58.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,23.800422893263466,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263487,1.0,23.800422893263487,349.5565570283336,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263487
7,0.1543,0.251,0.105,50.545475024211406,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.11003561817466,110.3938423212096,65.1340286285978,0.5916040940684603,0.3073959059251134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58855360438639,1.0,0.0,0.0,-14.58855360438639,364.14511063272,0.0,-34.11003561817466,0.0,34.11003561817466,0.0,14.58855360438639,65.1340286285978,0.0,34.11003561817466,0.0,65.1340286285978,0.0,0.0,0.0,0.0
8,0.1543,0.251,0.105,48.99565872712138,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.004341272879017,1.0,0.0,0.0,-19.004341272879017,383.149451905599,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,19.004341272879017,68.0,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,69.68266580715647,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68266580715607,1.0,1.68266580715607,381.4667860984429,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,69.68266580715647,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,1.68266580715607
10,0.1543,0.251,0.105,49.466786098443336,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.533213901557062,1.0,0.0,0.0,-18.533213901557062,400.0,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,18.533213901557062,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0
11,0.1543,0.251,0.105,44.2786831072234,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2786831072234,1.0,44.2786831072234,355.7213168927766,0.0,0.0,0.0,0.0,0.0,0.0,44.2786831072234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2786831072234
12,0.1543,0.251,0.105,22.480622706817734,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.48062270681777,1.0,22.48062270681777,333.24069418595883,0.0,0.0,0.0,0.0,0.0,0.0,22.480622706817734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.48062270681777
