t,s1,s2,s3
1,115.1,45.82,79.26
2,138.89,51.61,88.85
3,275.27,97.03,166.62
4,191.27,66.1,113.14
5,207.09,69.64,118.94
6,203.75,72.98,124.61
7,200.26,73.77,125.94
8,187.72,69.65,118.99
9,183.58,66.08,113.1
10,165.75,60.36,103.57
11,156.18,55.38,95.2
12,143.39,51.85,89.24
13,152.36,51.94,89.44
14,171.44,55.6,96.07
15,181.67,54.4,94.83
16,192.25,61.73,108.25
17,201.56,62.28,109.84
18,220.13,63.87,113.12
19,204.51,57.59,102.27
20,180.92,56.13,99.65
21,125.16,41.8,74.5
22,135.78,40.08,71.97
23,133.41,43.9,79.7
24,137.07,45.66,84.06
