t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.gas,arc06_expanded.gas
1,0.01543,0.251,0.105,79.26,1.0,59.99607138679676,165.73534080840207,89.0,0.503299999749288,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,79.26,1.0,-9.739999999999995,9.739999999999995,165.73534080840207,-59.99607138679676,0.0,59.99607138679676,0.0,79.26,79.26,79.26,0.0,0.0,165.73534080840207
2,0.01543,0.251,0.105,88.85,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,89.0,1.0,3.65,1.0,-85.35,95.08999999999999,244.04416433781066,-59.996071386796345,0.0,59.996071386796345,0.0,88.85,88.85,3.65,85.2,78.30882352940881,165.73534080840184
3,0.01543,0.251,0.105,166.62,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,1.0,115.3300000000004,106.8631610865041,1.0822318693573374,1.0,0.0,89.0,1.0,51.28999999999961,1.0,-37.71000000000039,132.8,272.59850189490595,-59.996071386796345,0.0,59.996071386796345,0.0,166.62,166.62,51.28999999999961,115.3300000000004,106.8631610865041,165.73534080840184
4,0.01543,0.251,0.105,113.14,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,113.14,1.0,24.14,108.65999999999997,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,113.14,113.14,113.14,0.0,0.0,165.73534080840184
5,0.01543,0.251,0.105,118.94,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,118.94,1.0,29.939999999999998,78.71999999999997,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,118.94,118.94,118.94,0.0,0.0,165.73534080840184
6,0.01543,0.251,0.105,124.61,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,124.61,1.0,35.61,43.10999999999997,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,124.61,124.61,124.61,0.0,0.0,165.73534080840184
7,0.01543,0.251,0.105,125.94,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,125.94,1.0,36.94,6.169999999999973,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,125.94,125.94,125.94,0.0,0.0,165.73534080840184
8,0.01543,0.251,0.105,118.99,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,89.0,1.0,33.78999999999999,1.0,-55.21000000000001,61.37999999999998,244.04416433781066,-59.996071386796345,0.0,59.996071386796345,0.0,118.99,118.99,33.78999999999999,85.2,78.30882352940881,165.73534080840184
9,0.01543,0.251,0.105,113.1,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,89.0,1.0,27.9,1.0,-61.1,122.47999999999999,244.04416433781066,-59.996071386796345,0.0,59.996071386796345,0.0,113.1,113.1,27.9,85.2,78.30882352940881,165.73534080840184
10,0.01543,0.251,0.105,103.57,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,103.57,1.0,14.569999999999993,107.91,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,103.57,103.57,103.57,0.0,0.0,165.73534080840184
11,0.01543,0.251,0.105,95.2,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,95.2,1.0,6.2,101.71,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,95.2,95.2,95.2,0.0,0.0,165.73534080840184
12,0.01543,0.251,0.105,89.24,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,89.24,1.0,0.23999999999999488,101.47,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,89.24,89.24,89.24,0.0,0.0,165.73534080840184
13,0.01543,0.251,0.105,89.44,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,89.44,1.0,0.4399999999999977,101.03,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,89.44,89.44,89.44,0.0,0.0,165.73534080840184
14,0.01543,0.251,0.105,96.07,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,96.07,1.0,7.069999999999993,93.96000000000001,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,96.07,96.07,96.07,0.0,0.0,165.73534080840184
15,0.01543,0.251,0.105,94.83,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,94.83,1.0,5.829999999999998,88.13000000000001,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,94.83,94.83,94.83,0.0,0.0,165.73534080840184
16,0.01543,0.251,0.105,108.25,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,108.25,1.0,19.25,68.88000000000001,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,108.25,108.25,108.25,0.0,0.0,165.73534080840184
17,0.01543,0.251,0.105,109.84,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,109.84,1.0,20.840000000000003,48.040000000000006,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,109.84,109.84,109.84,0.0,0.0,165.73534080840184
18,0.01543,0.251,0.105,113.12,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,113.12,1.0,24.120000000000005,23.92,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,113.12,113.12,113.12,0.0,0.0,165.73534080840184
19,0.01543,0.251,0.105,102.27,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,102.27,1.0,13.269999999999996,10.65,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,102.27,102.27,102.27,0.0,0.0,165.73534080840184
20,0.01543,0.251,0.105,99.65,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,99.65,1.0,10.65,0.0,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,99.65,99.65,99.65,0.0,0.0,165.73534080840184
21,0.01543,0.251,0.105,74.5,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,74.5,1.0,-14.5,14.5,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,74.5,74.5,74.5,0.0,0.0,165.73534080840184
22,0.01543,0.251,0.105,71.97,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,71.97,1.0,-17.03,31.53,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,71.97,71.97,71.97,0.0,0.0,165.73534080840184
23,0.01543,0.251,0.105,79.7,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,79.7,1.0,-9.3,40.83,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,79.7,79.7,79.7,0.0,0.0,165.73534080840184
24,0.01543,0.251,0.105,84.06,1.0,59.996071386796345,165.73534080840184,89.0,0.5032999999651682,0.3957000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,84.06,1.0,-4.939999999999998,45.769999999999996,165.73534080840184,-59.996071386796345,0.0,59.996071386796345,0.0,84.06,84.06,84.06,0.0,0.0,165.73534080840184
