t,Scenario2.GAS_PRICE,Scenario2.POWER_PRICE,Scenario2.HEAT_PRICE,Scenario2.heat_demand,Scenario2.heat_demand_scenario,Scenario2.delta_heat_demand,Scenario2.probability,Scenario2.heat_storage1.initial_soc,Scenario2.chp1.bin,Scenario2.chp1.power,Scenario2.chp1.gas,Scenario2.chp1.heat,Scenario2.chp1.eta_th,Scenario2.chp1.eta_el,Scenario2.chp1.y1,Scenario2.chp1.y2,Scenario2.chp2.bin,Scenario2.chp2.power,Scenario2.chp2.gas,Scenario2.chp2.heat,Scenario2.chp2.eta_th,Scenario2.chp2.eta_el,Scenario2.chp2.y1,Scenario2.chp2.y2,Scenario2.boiler1.bin,Scenario2.boiler1.heat,Scenario2.boiler1.gas,Scenario2.boiler1.eta_th,Scenario2.boiler1.y1,Scenario2.boiler1.y2,Scenario2.heat_storage1.heat_charge,Scenario2.heat_storage1.bin_charge,Scenario2.heat_storage1.heat_discharge,Scenario2.heat_storage1.bin_discharge,Scenario2.heat_storage1.heat_balance,Scenario2.heat_storage1.heat_capacity,Scenario2.heat_storage1.dispatch_heat_capacity,Scenario2.heat_storage1.dispatch_heat_charge,Scenario2.heat_storage1.dispatch_heat_discharge,Scenario2.heat_storage1.dispatch_storage_capacity,Scenario2.heat_storage1.dispatch_extension,Scenario2.heat_storage1.use_extension,Scenario2.ngas_grid.gas_balance,Scenario2.power_grid.power_balance,Scenario2.power_grid.power_supply,Scenario2.power_grid.power_feedin,Scenario2.heat_grid.heat_balance,Scenario2.heat_grid.heat_supply,Scenario2.heat_grid.heat_feedin,Scenario2.heat_grid.dispatch_heat_feedin,Scenario2.heat_grid.dispatch_heat_supply,Scenario2.heat_grid.dispatch_heat_balance,Scenario2.arc01_expanded.power,Scenario2.arc02_expanded.power,Scenario2.arc03_expanded.heat,Scenario2.arc04_expanded.heat,Scenario2.arc05_expanded.heat,Scenario2.arc06_expanded.gas,Scenario2.arc07_expanded.gas,Scenario2.arc08_expanded.heat
1,0.1543,0.251,0.105,151.78628826127118,139.05463024008097,12.731658021190214,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.786288261277733,1.0,15.786288261277718,304.2137117387223,316.9453697599125,12.731658021190214,0.0,316.9453697599125,0.0,0.0,117.03958691910523,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,151.78628826127118,0.0,12.731658021190214,0.0,37.21858864027854,38.89001692046986,68.0,68.0,0.0,0.0,117.03958691910523,15.786288261277733
2,0.1543,0.251,0.105,160.7009078596006,151.98320591973078,8.717701939869812,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.700907859580397,1.0,24.700907859607128,279.51280387911515,288.23050581898497,8.717701939869812,0.0,288.23050581898497,0.0,-0.0,117.03958691910327,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,160.70090785957385,0.0,8.717701939869812,0.0,37.21858864027854,38.89001692046986,68.0,68.0,0.0,0.0,117.03958691910523,24.700907859580397
3,0.1543,0.251,0.105,195.29041728599813,268.2575467314162,-72.96712944541807,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,25.90958271399532,1.0,0.0,0.0,-25.90958271399532,305.42238659311045,232.45525714769238,0.0,72.96712944541807,232.45525714769238,0.0,0.0,195.34841044851404,-76.1086055607484,0.0,76.1086055607484,0.0,25.90958271399532,221.2,72.96712944541807,0.0,0.0,37.21858864027854,38.89001692046986,68.0,68.0,85.2,78.30882352940881,117.03958691910523,0.0
4,0.1543,0.251,0.105,394.0458316442079,382.8264761154327,11.219355528775225,0.08587360637460136,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.317999999996065,1.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.3380000000001399,1.0,0.0,1.0,174.0,162.46498599439482,1.07100000000252,1.0,0.0,0.0,0.0,84.04583164420791,1.0,84.04583164420791,221.37655494890254,232.59591047767776,11.219355528775225,0.0,232.59591047767776,0.0,0.0,279.5045729134952,-76.10860556074365,0.0,76.10860556074365,0.0,0.0,394.0458316442079,0.0,11.219355528775225,0.0,37.218588640276295,38.89001692046736,68.0,68.0,174.0,162.46498599439482,117.0395869191004,84.04583164420791
5,0.1543,0.251,0.105,266.3641061148016,296.64735798401,-30.283251869208414,0.08587360637460136,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,130.36410611481023,121.11105159003762,1.0793537184264865,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,191.09330307969412,0.0,30.283251869208414,191.09330307969412,0.0,0.0,238.15063850913802,-76.10860556074614,0.0,76.10860556074614,0.0,0.0,266.3641061148016,30.283251869208414,0.0,0.0,37.21858864027628,38.89001692046986,68.0,68.0,130.36410611481023,121.11105159003762,117.0395869191004,0.0
6,0.1543,0.251,0.105,281.6852398111608,252.2848650533357,29.40037475782509,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,145.68523981116732,135.63095943348807,1.076420618507139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,250.77692970672763,29.40037475782509,0.0,250.77692970672763,0.0,-0.0,252.6705463525933,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,281.6852398111608,0.0,29.40037475782509,0.0,37.21858864027854,38.89001692046986,68.0,68.0,145.68523981116732,135.63095943348807,117.03958691910523,0.0
7,0.1543,0.251,0.105,266.28574870455805,254.62022408795372,11.66552461660433,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,130.28574870456458,121.0367919172114,1.0793687192820516,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,233.04207956550687,11.66552461660433,0.0,233.04207956550687,0.0,-0.0,238.07637883631662,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,266.28574870455805,0.0,11.66552461660433,0.0,37.21858864027854,38.89001692046986,68.0,68.0,130.28574870456458,121.0367919172114,117.03958691910523,0.0
8,0.1543,0.251,0.105,268.41417368096984,259.4489884765845,8.965185204385364,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,132.41417368097638,123.05390991393939,1.0789612505365673,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,230.3417401532879,8.965185204385364,0.0,230.3417401532879,0.0,-0.0,240.09349683304464,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,268.41417368096984,0.0,8.965185204385364,0.0,37.21858864027854,38.89001692046986,68.0,68.0,132.41417368097638,123.05390991393939,117.03958691910523,0.0
9,0.1543,0.251,0.105,238.4739644706144,234.21923433916166,4.254730131452732,0.08587360637460136,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,102.47396447062094,94.67943794837247,1.0846930473448562,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,225.63128508035527,4.254730131452732,0.0,225.63128508035527,0.0,-0.0,211.71902486747769,-76.1086055607484,0.0,76.1086055607484,0.0,0.0,238.4739644706144,0.0,4.254730131452732,0.0,37.21858864027854,38.89001692046986,68.0,68.0,102.47396447062094,94.67943794837247,117.03958691910523,0.0
10,0.1543,0.251,0.105,231.5940050226644,221.7446043393616,9.849400683302804,0.08587360637460136,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046736,115.05922165818957,68.0,0.5910000000035198,0.33800000000333846,1.0,0.0,1.0,95.59400502267192,88.15926919776308,1.0860101566986302,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.37655494890254,231.22595563220534,9.849400683302804,0.0,231.22595563220534,0.0,-0.0,205.19885611686348,-76.10860556074364,0.0,76.10860556074364,0.0,0.0,231.5940050226644,0.0,9.849400683302804,0.0,37.21858864027628,38.89001692046736,68.0,68.0,95.59400502267192,88.15926919776308,117.0395869191004,0.0
