t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,1.0,30.41850254364485,102.5017504657496,61.730571125069964,0.6041968868316575,0.2948031131589237,1.0,0.0,1.0,30.17054815805632,101.97165125018826,61.50196631586853,0.6050427246257026,0.29395727536489985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.99999999273706,1.0,0.0,0.0,-79.99999999273706,399.99999999273706,-60.58905070170117,0.0,60.58905070170117,102.5017504657496,0.0,79.99999999273706,123.23253744093945
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.80368966421722,1.0,49.80368966421722,350.19631032851987,0.0,0.0,0.0,-0.0,0.0,0.0,49.80368966421722
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858800663196,117.03958556443592,67.99999941580275,0.5810000021559459,0.31799999783464034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.23696697280118,1.0,35.23696697280118,314.95934335572105,-37.21858800663196,0.0,37.21858800663196,-0.0,0.0,0.0,103.23696638860196
4,1.0,36.30367962058587,115.08361202275933,67.15648758788133,0.5841209959192554,0.314879004071345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14018067966670025,1.0,0.0,0.0,-0.14018067966670025,315.099524035398,-36.30367962058587,0.0,36.30367962058587,115.08361202275933,0.0,0.14018067966670025,67.15648758788198
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.218588033974825,117.03958562289233,67.99999944101197,0.5810000020626719,0.3179999979279296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.354277911551762,1.0,8.354277911551762,306.74524612384795,-37.218588033974825,0.0,37.218588033974825,-0.0,0.0,0.0,76.35427735256178
6,1.0,37.21858797285494,117.03958549222489,67.99999938466166,0.5810000022711662,0.31799999771943294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5362323411859893,1.0,3.5362323411859893,303.20901378266393,-37.21858797285494,0.0,37.21858797285494,117.03958549222489,0.0,0.0,71.5362317258457
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.218587997262205,117.03958554440466,67.99999940716421,0.5810000021879089,0.31799999780269117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120559358535927,1.0,3.120559358535927,300.08845442413013,-37.218587997262205,0.0,37.218587997262205,-0.0,0.0,0.0,71.12055876569818
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.62906890484815,109.365588366995,64.69059503708692,0.5932447983571956,0.3057552016334065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2324863439944702,1.0,0.0,0.0,-1.2324863439944702,301.32094076812325,-33.62906890484815,0.0,33.62906890484815,-0.0,0.0,1.2324863439944702,64.69059503708758
9,1.0,32.66160299804337,107.29725262426271,63.79862711117536,0.5965450796830674,0.30245492030753945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7658374960564975,1.0,0.0,0.0,-4.7658374960564975,306.08677826417863,-32.66160299804337,0.0,32.66160299804337,107.29725262426271,0.0,4.7658374960564975,63.79862711117601
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.53534988501293,107.02733734923827,63.68222639195871,0.5969757623441688,0.3020242376464307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.388150649444864,1.0,0.0,0.0,-9.388150649444864,315.47492891362197,-32.53534988501293,0.0,32.53534988501293,-0.0,0.0,9.388150649444864,63.68222639195936
