t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.heat_storage1.initial_soc,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.heat_storage1.dispatch_heat_charge,Scenario1.heat_storage1.dispatch_heat_discharge,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.heat_grid.dispatch_heat_supply,Scenario1.heat_grid.dispatch_heat_balance,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
1,0.1543,0.251,0.105,5.559557195027181,47.316085158528665,-41.75652796350148,0.2418623085247977,320.0,1.0,37.21858864028198,117.03958691911257,68.0,0.5809999999942527,0.31799999999932094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.44044280497807,1.0,0.0,0.0,-62.44044280497809,382.4404428049781,20.68391484147662,0.0,41.75652796350148,117.03958691911257,-37.21858864028198,0.0,37.21858864028198,0.0,62.44044280497807,68.0,41.75652796350148,0.0,0.0,37.21858864028198,0.0,68.0,0.0,0.0,0.0,117.03958691911257,0.0
2,0.1543,0.251,0.105,49.34710631653783,15.342366119088688,34.004740197449145,0.2418623085247977,320.0,1.0,26.372168284780397,93.85113268605785,58.0,0.6179999999943068,0.28099999999926695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.652893683452813,1.0,0.0,0.0,-8.652893683452813,391.0933364884309,63.341548722378576,34.004740197449145,0.0,93.85113268605785,-26.372168284780397,0.0,26.372168284780397,0.0,8.652893683452813,58.0,0.0,34.004740197449145,0.0,26.372168284780397,0.0,58.0,0.0,0.0,0.0,93.85113268605785,0.0
3,0.1543,0.251,0.105,95.48301447282147,128.90399837176076,-33.4209838989393,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48301447281939,1.0,27.48301447281939,363.61032201561153,2.437550350619915,0.0,33.4209838989393,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,0.0,95.48301447282147,33.4209838989393,0.0,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,27.48301447281939
4,0.1543,0.251,0.105,56.749591780486476,19.875702035536335,36.87388974495014,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.250408219513524,1.0,0.0,0.0,-11.250408219513524,374.86073023512506,50.56184831508358,36.87388974495014,0.0,0.0,-37.21858864027628,0.0,37.21858864027628,0.0,11.250408219513524,68.0,0.0,36.87388974495014,0.0,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,49.50375031353054,70.68836375127425,-21.184613437743714,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284789346,93.851132686077,58.0,0.6179999999942762,0.2809999999992975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49624968646836,1.0,0.0,0.0,-8.496249686468332,383.3569799215934,37.873484563808226,0.0,21.184613437743714,0.0,-26.372168284789346,0.0,26.372168284789346,0.0,8.49624968646836,58.0,21.184613437743714,0.0,0.0,0.0,26.372168284789346,0.0,58.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,23.800422893263466,60.89483394220605,-37.09441104894258,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263516,1.0,23.800422893263544,359.55655702832985,-23.021349378397872,0.0,37.09441104894258,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263466,37.09441104894258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.800422893263516
7,0.1543,0.251,0.105,50.545475024211406,75.11244427008523,-24.56696924587383,0.2418623085247977,320.0,1.0,26.372168284789314,93.85113268607691,58.0,0.6179999999942764,0.28099999999929737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454524975787461,1.0,0.0,0.0,-7.454524975787461,367.0110820041173,-40.133793648484236,0.0,24.56696924587383,93.85113268607691,-26.372168284789314,0.0,26.372168284789314,0.0,7.454524975787461,58.0,24.56696924587383,0.0,0.0,26.372168284789314,0.0,58.0,0.0,0.0,0.0,93.85113268607691,0.0
8,0.1543,0.251,0.105,48.99565872712138,22.322366635072974,26.673292092048406,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.004341272880694,1.0,0.0,0.0,-19.004341272880694,386.01542327699804,5.5438397164448645,26.673292092048406,0.0,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,19.004341272880694,68.0,0.0,26.673292092048406,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,69.68266580715647,76.67436452309214,-6.991698715935669,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864028198,117.03958691911257,68.0,0.5809999999942527,0.31799999999932094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682665807151217,1.0,1.6826658071512384,384.3327574698468,-3.130524806642022,0.0,6.991698715935669,0.0,-37.21858864028198,0.0,37.21858864028198,0.0,0.0,69.68266580715647,6.991698715935669,0.0,0.0,0.0,37.21858864028198,0.0,68.0,0.0,0.0,0.0,1.682665807151217
10,0.1543,0.251,0.105,49.466786098443336,11.252439104039858,38.21434699440348,0.2418623085247977,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.754436553257626,105.35783050183096,62.96225306789343,0.5996396636430664,0.2993603363505072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.495466969450092,1.0,0.0,0.0,-13.495466969450092,397.8282244392969,48.57928915721155,38.21434699440348,0.0,0.0,-31.754436553257626,0.0,31.754436553257626,0.0,13.495466969450092,62.96225306789343,0.0,38.21434699440348,0.0,0.0,31.754436553257626,0.0,62.96225306789343,0.0,0.0,0.0,0.0
