t,Scenario6.GAS_PRICE,Scenario6.POWER_PRICE,Scenario6.HEAT_PRICE,Scenario6.heat_demand,Scenario6.heat_demand_scenario,Scenario6.delta_heat_demand,Scenario6.probability,Scenario6.chp1.bin,Scenario6.chp1.power,Scenario6.chp1.gas,Scenario6.chp1.heat,Scenario6.chp1.eta_th,Scenario6.chp1.eta_el,Scenario6.chp1.y1,Scenario6.chp1.y2,Scenario6.chp2.bin,Scenario6.chp2.power,Scenario6.chp2.gas,Scenario6.chp2.heat,Scenario6.chp2.eta_th,Scenario6.chp2.eta_el,Scenario6.chp2.y1,Scenario6.chp2.y2,Scenario6.boiler1.bin,Scenario6.boiler1.heat,Scenario6.boiler1.gas,Scenario6.boiler1.eta_th,Scenario6.boiler1.y1,Scenario6.boiler1.y2,Scenario6.heat_storage1.heat_charge,Scenario6.heat_storage1.bin_charge,Scenario6.heat_storage1.heat_discharge,Scenario6.heat_storage1.bin_discharge,Scenario6.heat_storage1.heat_balance,Scenario6.heat_storage1.heat_capacity,Scenario6.heat_storage1.dispatch_heat_capacity,Scenario6.heat_storage1.dispatch_heat_charge,Scenario6.heat_storage1.dispatch_heat_discharge,Scenario6.ngas_grid.gas_balance,Scenario6.power_grid.power_balance,Scenario6.power_grid.power_supply,Scenario6.power_grid.power_feedin,Scenario6.heat_grid.heat_balance,Scenario6.heat_grid.heat_supply,Scenario6.heat_grid.heat_feedin,Scenario6.heat_grid.dispatch_heat_feedin,Scenario6.heat_grid.dispatch_heat_supply,Scenario6.heat_grid.dispatch_heat_balance,Scenario6.arc01_expanded.power,Scenario6.arc02_expanded.power,Scenario6.arc03_expanded.heat,Scenario6.arc04_expanded.heat,Scenario6.arc05_expanded.heat,Scenario6.arc06_expanded.gas,Scenario6.arc07_expanded.gas,Scenario6.arc08_expanded.heat
1,0.1543,0.251,0.105,88.13061207321796,75.39895405202773,12.731658021190228,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,85.86938792678204,1.0,0.0,0.0,-85.86938792678204,85.86938792678204,98.60104594797227,12.731658021190228,0.0,162.46498599439482,0.0,0.0,0.0,0.0,85.86938792678204,174.0,0.0,12.731658021190228,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
2,0.1543,0.251,0.105,106.3100249930061,119.69617099135849,-13.38614599835239,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,67.6899750069939,1.0,0.0,0.0,-67.68997500699392,153.55936293377596,152.9048749566138,0.0,13.38614599835239,162.46498599439482,0.0,0.0,0.0,0.0,67.6899750069939,174.0,13.38614599835239,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
3,0.1543,0.251,0.105,210.6748063564434,214.96385982385033,-4.289053467406916,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,36.67480635644341,1.0,36.67480635644341,116.88455657733255,111.94101513276347,0.0,4.289053467406916,162.46498599439482,0.0,0.0,0.0,0.0,0.0,210.6748063564434,4.289053467406916,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,36.67480635644341
4,0.1543,0.251,0.105,146.48074158117606,73.72520069673456,72.7555408844415,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439485,1.070999999987968,1.0,0.0,27.519258418823966,1.0,0.0,0.0,-27.519258418823966,144.4038149961565,212.21581443602895,72.7555408844415,0.0,162.46498599439485,0.0,0.0,0.0,0.0,27.519258418823966,174.0,0.0,72.7555408844415,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439485,0.0,0.0
5,0.1543,0.251,0.105,158.7089092436237,188.9921611128321,-30.283251869208385,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,15.291090756376292,1.0,0.0,0.0,-15.291090756376292,159.6949057525328,197.22365332319686,0.0,30.283251869208385,162.46498599439482,0.0,0.0,0.0,0.0,15.291090756376292,174.0,30.283251869208385,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
6,0.1543,0.251,0.105,156.81798849107926,179.91767354619702,-23.09968505511776,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.4649859944357,1.0709999999879598,1.0,0.0,17.182011508963853,1.0,0.0,0.0,-17.182011508963853,176.87691726149666,191.30597977704292,0.0,23.09968505511776,162.4649859944357,0.0,0.0,0.0,0.0,17.182011508963853,174.0,23.09968505511776,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.4649859944357,0.0,0.0
7,0.1543,0.251,0.105,155.5721773995898,168.49592429413707,-12.923746894547264,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.4649859944357,1.0709999999879598,1.0,0.0,18.42782260045334,1.0,0.0,0.0,-18.42782260045334,195.30473986195,196.810055482949,0.0,12.923746894547264,162.4649859944357,0.0,0.0,0.0,0.0,18.42782260045334,174.0,12.923746894547264,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.4649859944357,0.0,0.0
8,0.1543,0.251,0.105,147.4562304387438,112.01250337631677,35.44372706242703,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.9489279858354,146.3056077666222,1.0742642817924817,1.0,0.0,9.492697547091609,1.0,0.0,0.0,-9.492697547091609,204.7974374090416,241.74648009246764,35.44372706242703,0.0,146.3056077666222,0.0,0.0,0.0,0.0,9.492697547091609,156.9489279858354,0.0,35.44372706242703,0.0,0.0,0.0,0.0,0.0,156.9489279858354,146.3056077666222,0.0,0.0
9,0.1543,0.251,0.105,145.68736008059668,141.43262994914394,4.254730131452732,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,28.312639919403324,1.0,0.0,0.0,-28.312639919403324,233.11007732844493,274.3138501433237,4.254730131452732,0.0,162.46498599439482,0.0,0.0,0.0,0.0,28.312639919403324,174.0,0.0,4.254730131452732,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
10,0.1543,0.251,0.105,133.10499153939045,123.25559085608765,9.849400683302804,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.895008460609546,1.0,0.0,0.0,-40.895008460609546,274.0050857890545,325.05825928723607,9.849400683302804,0.0,162.46498599439482,0.0,0.0,0.0,0.0,40.895008460609546,174.0,0.0,9.849400683302804,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
11,0.1543,0.251,0.105,126.99603698103137,82.65344102419397,44.3425959568374,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,47.00396301896863,1.0,0.0,0.0,-47.00396301896863,321.0090488080231,416.4048182630421,44.3425959568374,0.0,162.46498599439482,0.0,0.0,0.0,0.0,47.00396301896863,174.0,0.0,44.3425959568374,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
12,0.1543,0.251,0.105,118.12931021970827,82.91920404419402,35.210106175514255,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,55.870689780291734,1.0,0.0,0.0,-55.870689780291684,376.8797385883148,507.48561421884807,35.210106175514255,0.0,162.46498599439482,0.0,0.0,0.0,0.0,55.870689780291734,174.0,0.0,35.210106175514255,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
13,0.1543,0.251,0.105,127.11248915420391,87.72491573432208,39.38757341988183,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.11248915420391,118.02947945928662,1.0799762126498886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,376.8797385883148,546.8731876387299,39.38757341988183,0.0,118.02947945928662,0.0,0.0,0.0,0.0,0.0,127.11248915420391,0.0,39.38757341988183,0.0,0.0,0.0,0.0,0.0,127.11248915420391,118.02947945928662,0.0,0.0
14,0.1543,0.251,0.105,143.92225309423955,132.88551329130178,11.036739802937774,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.07774690576045,1.0,0.0,0.0,-30.07774690576045,406.9574854940753,587.9876743474282,11.036739802937774,0.0,162.46498599439482,0.0,0.0,0.0,0.0,30.07774690576045,174.0,0.0,11.036739802937774,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
15,0.1543,0.251,0.105,153.96949988320094,165.12940769730648,-11.159907814105537,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153.96949988320094,143.48199025020267,1.074834667803121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,406.9574854940753,576.8277665333227,0.0,11.159907814105537,143.48199025020267,0.0,0.0,0.0,0.0,0.0,153.96949988320094,11.159907814105537,0.0,0.0,0.0,0.0,0.0,0.0,153.96949988320094,143.48199025020267,0.0,0.0
16,0.1543,0.251,0.105,163.93908361154536,123.19238873830005,40.7466948732453,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,10.060916388454643,1.0,0.0,0.0,-10.060916388454643,417.01840188252993,627.6353777950226,40.7466948732453,0.0,162.46498599439482,0.0,0.0,0.0,0.0,10.060916388454643,174.0,0.0,40.7466948732453,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
17,0.1543,0.251,0.105,172.6373879152593,193.453022709886,-20.815634794626703,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.6373879152593,161.17363234596925,1.0712608604095963,1.0,0.0,0.0,0.0,0.0,1.0,0.0,417.01840188252993,606.8197430003959,0.0,20.815634794626703,161.17363234596925,0.0,0.0,0.0,0.0,0.0,172.6373879152593,20.815634794626703,0.0,0.0,0.0,0.0,0.0,0.0,172.6373879152593,161.17363234596925,0.0,0.0
18,0.1543,0.251,0.105,189.7709359695811,157.5923044950179,32.17863147456319,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,15.770935969581103,1.0,15.770935969581103,401.2474659129488,623.2274385053779,32.17863147456319,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,189.7709359695811,0.0,32.17863147456319,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,15.770935969581103
19,0.1543,0.251,0.105,178.15899549410722,181.28246123799806,-3.123465743890847,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.1589954941072165,1.0,4.1589954941072165,397.0884704188416,615.9449772673798,0.0,3.123465743890847,162.46498599439482,0.0,0.0,0.0,0.0,0.0,178.15899549410722,3.123465743890847,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,4.1589954941072165
20,0.1543,0.251,0.105,159.28416533270453,174.0067355525949,-14.722570219890372,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.28416533270453,148.5187227841607,1.0738172205886891,1.0,0.0,0.0,1.0,0.0,0.0,0.0,397.0884704188416,601.2224070474895,0.0,14.722570219890372,148.5187227841607,0.0,0.0,0.0,0.0,0.0,159.28416533270453,14.722570219890372,0.0,0.0,0.0,0.0,0.0,0.0,159.28416533270453,148.5187227841607,0.0,0.0
21,0.1543,0.251,0.105,111.5328007805781,91.35123340383625,20.181567376741853,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.4671992194219,1.0,0.0,0.0,-62.4671992194219,459.5556696382635,683.8711736436533,20.181567376741853,0.0,162.46498599439482,0.0,0.0,0.0,0.0,62.4671992194219,174.0,0.0,20.181567376741853,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
22,0.1543,0.251,0.105,122.3487884171389,85.98572805052842,36.36306036661048,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,51.651211582861094,1.0,0.0,0.0,-51.651211582861094,511.2068812211246,771.8854455931248,36.36306036661048,0.0,162.46498599439482,0.0,0.0,0.0,0.0,51.651211582861094,174.0,0.0,36.36306036661048,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
23,0.1543,0.251,0.105,121.44172552592136,100.34062366131239,21.101101864608964,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,52.558274474078644,1.0,0.0,0.0,-52.558274474078644,563.7651556952032,845.5448219318124,21.101101864608964,0.0,162.46498599439482,0.0,0.0,0.0,0.0,52.558274474078644,174.0,0.0,21.101101864608964,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
24,0.1543,0.251,0.105,125.78405753160912,86.93143238129234,38.85262515031678,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,48.21594246839088,1.0,0.0,0.0,-48.21594246839088,611.9810981635941,932.6133895505201,38.85262515031678,0.0,162.46498599439482,0.0,0.0,0.0,0.0,48.21594246839088,174.0,0.0,38.85262515031678,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
25,0.1543,0.251,0.105,136.30073130880112,123.5690732876109,12.731658021190214,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,37.69926869119888,1.0,0.0,0.0,-37.69926869119888,649.680366854793,983.0443162629092,12.731658021190214,0.0,162.46498599439482,0.0,0.0,0.0,0.0,37.69926869119888,174.0,0.0,12.731658021190214,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
26,0.1543,0.251,0.105,161.79318458245825,153.07548264258844,8.717701939869812,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,12.206815417541748,1.0,0.0,0.0,-12.206815417541748,661.8871822723347,1003.9688336203208,8.717701939869812,0.0,162.46498599439482,0.0,0.0,0.0,0.0,12.206815417541748,174.0,0.0,8.717701939869812,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
27,0.1543,0.251,0.105,307.945532128739,346.5736235851515,-38.628091456412506,0.0010118908766224963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790405,93.85113268603688,58.0,0.6179999999651689,0.2810000000106164,1.0,0.0,1.0,152.91266157415714,142.48041979485234,1.0750369904523749,1.0,0.0,0.0,0.0,97.03287055458196,1.0,97.03287055458202,564.8543117177527,868.3078716093263,0.0,38.628091456412506,142.48041979485234,-26.372168284790405,0.0,26.372168284790405,0.0,0.0,307.945532128739,38.628091456412506,0.0,0.0,0.0,26.372168284790405,0.0,58.0,152.91266157415714,142.48041979485234,0.0,97.03287055458196
