t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,85.86938792678204,1.0,0.0,0.0,-85.86938792678204,85.86938792678204,0.0,0.0,0.0,162.46498599439482,0.0,85.86938792678204,174.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,67.6899750069939,1.0,0.0,0.0,-67.6899750069939,153.55936293377596,0.0,0.0,0.0,162.46498599439482,0.0,67.6899750069939,174.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599440957,1.0709999999879651,1.0,0.0,0.0,0.0,36.674806356427865,1.0,36.674806356427865,116.88455657734809,0.0,0.0,0.0,162.46498599440957,0.0,0.0,210.6748063564434
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,27.519258418818055,1.0,0.0,0.0,-27.519258418818055,144.40381499616615,0.0,0.0,0.0,162.46498599438928,0.0,27.519258418818055,174.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,15.291090756376292,1.0,0.0,0.0,-15.291090756376292,159.69490575254244,0.0,0.0,0.0,162.46498599439482,0.0,15.291090756376292,174.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,17.182011508920738,1.0,0.0,0.0,-17.182011508920738,176.87691726146318,0.0,0.0,0.0,162.46498599439482,0.0,17.182011508920738,174.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,18.427822600410195,1.0,0.0,0.0,-18.427822600410195,195.30473986187337,0.0,0.0,0.0,162.46498599439482,0.0,18.427822600410195,174.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,26.543769561256198,1.0,0.0,0.0,-26.543769561256198,221.84850942312957,0.0,0.0,0.0,162.46498599439482,0.0,26.543769561256198,174.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.4649859943999,1.0709999999879671,1.0,0.0,28.312639919408696,1.0,0.0,0.0,-28.312639919408696,250.16114934253827,0.0,0.0,0.0,162.4649859943999,0.0,28.312639919408696,174.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.895008460609546,1.0,0.0,0.0,-40.895008460609546,291.0561578031478,0.0,0.0,0.0,162.46498599439482,0.0,40.895008460609546,174.0
