t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,87.10979417867712,1.0,0.0,0.0,-87.10979417867712,87.10979417867712,0.0,0.0,0.0,162.46498599439482,0.0,87.10979417867712,174.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,151.91969674202346,1.0,0.0,0.0,-151.91969674202346,239.02949092070057,-47.60807173924454,0.0,47.60807173924454,162.46498599439482,0.0,151.91969674202346,254.58982587853438
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439522,1.070999999987968,1.0,0.0,0.0,0.0,23.108180097529257,1.0,23.108180097529242,215.92131082317132,0.0,0.0,0.0,162.46498599439522,0.0,0.0,197.10818009752964
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439533,1.070999999987968,1.0,0.0,42.58889574749131,1.0,0.0,0.0,-42.58889574749131,258.5102065706626,0.0,0.0,0.0,162.46498599439533,0.0,42.58889574749131,174.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,39.63721322941373,1.0,0.0,0.0,-39.63721322941376,298.14741980007636,0.0,0.0,0.0,162.46498599439482,0.0,39.63721322941373,174.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.645115865520154,1.0,0.0,0.0,-40.645115865520154,338.7925356655965,0.0,0.0,0.0,162.46498599439482,0.0,40.645115865520154,174.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,25.32917209233395,1.0,0.0,0.0,-25.32917209233395,364.12170775793044,0.0,0.0,0.0,162.46498599439482,0.0,25.32917209233395,174.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,18.23387054061692,1.0,0.0,0.0,-18.23387054061692,382.35557829854736,0.0,0.0,0.0,162.46498599439482,0.0,18.23387054061692,174.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,24.586647536869776,1.0,0.0,0.0,-24.586647536869805,406.94222583541716,0.0,0.0,0.0,162.46498599439482,0.0,24.586647536869776,174.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,41.47200501681775,1.0,0.0,0.0,-41.472005016817775,448.41423085223494,0.0,0.0,0.0,162.46498599439482,0.0,41.47200501681775,174.0
