t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.901803233713707,1.0,0.0,-0.0,-20.901803233713736,340.90180323371374,-76.1086055607484,0.0,76.1086055607484,117.03958691910523,0.0,20.901803233713707,136.0
2,1.0,37.21858864027628,117.03958691910034,68.0,0.580999999994272,0.3179999999993014,1.0,0.0,1.0,38.89001692046736,115.05922165818951,68.0,0.5910000000035198,0.3380000000033384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8903249030283575,1.0,2.8903249030283575,338.01147833068535,-76.10860556074364,0.0,76.10860556074364,117.03958691910007,0.0,0.0,138.89032490302077
3,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,1.0,135.11145473743383,125.61013539593222,1.0784448791631465,1.0,0.0,0.0,0.0,4.160946108846872,1.0,4.160946108846872,333.8505322218385,-76.1086055607484,0.0,76.1086055607484,242.64972231503745,0.0,0.0,275.27240084627414
4,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26946732977448,1.0,55.26946732978104,278.58106489205744,-76.1086055607484,0.0,76.1086055607484,117.03958691910523,0.0,0.0,191.2694673297679
5,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,14.105178161864558,1.0,0.0,0.0,-14.105178161864558,292.686243053922,-76.1086055607484,0.0,76.1086055607484,195.34841044851404,0.0,14.105178161864558,221.2
6,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,17.446667762590806,1.0,0.0,-0.0,-17.446667762590835,310.13291081651283,-76.1086055607484,0.0,76.1086055607484,195.34841044851404,0.0,17.446667762590806,221.2
7,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046736,115.0592216581837,68.0,0.5910000000034006,0.33800000000330405,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,20.941618949170405,1.0,0.0,0.0,-20.94161894917039,331.0745297656832,-76.1086055607459,0.0,76.1086055607459,195.34841044851404,0.0,20.941618949170405,221.2
8,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,33.481743171897165,1.0,0.0,-0.0,-33.481743171897165,364.5562729375804,-76.1086055607484,0.0,76.1086055607484,195.34841044851404,0.0,33.481743171897165,221.2
9,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.58081785643631,1.0,47.58081785644198,316.9754550811384,-76.1086055607484,0.0,76.1086055607484,117.03958691910523,0.0,0.0,183.58081785642975
10,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.749761941810625,1.0,29.74976194181062,287.2256931393278,-76.10860556074614,0.0,76.10860556074614,117.03958691911258,0.0,0.0,165.74976194181525
11,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046736,115.05922165818367,68.0,0.5910000000034005,0.338000000003304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17539692772097,1.0,20.175396927720953,267.05029621160685,-76.1086055607459,0.0,76.1086055607459,117.03958691912021,0.0,0.0,156.17539692772655
12,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046736,115.05922165818957,68.0,0.5910000000035198,0.33800000000333846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.394071843919845,1.0,7.394071843919846,259.656224367687,-76.1086055607459,0.0,76.1086055607459,117.0395869191104,0.0,0.0,143.39407184391985
13,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046736,115.05922165818957,68.0,0.5910000000035198,0.33800000000333846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3632839129054,1.0,16.3632839129054,243.29294045478161,-76.1086055607459,0.0,76.1086055607459,117.03958691911144,0.0,0.0,152.3632839129067
14,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819106,68.0,0.5910000000034384,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.43752139826529,1.0,35.43752139826529,207.85541905651633,-76.1086055607484,0.0,76.1086055607484,117.03958691911554,0.0,0.0,171.43752139826995
15,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.66857084718411,1.0,45.66857084719271,162.1868482093236,-76.10860556074614,0.0,76.10860556074614,117.0395869191004,0.0,0.0,181.6685708471755
16,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,123.79804759808623,114.88836817463186,1.0806107341335172,1.0,0.0,67.5487418605635,1.0,0.0,0.0,-67.5487418605635,229.7355900698871,-76.10860556074614,0.0,76.10860556074614,231.92795509373227,0.0,67.5487418605635,259.7980475980776
17,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.89001692046736,115.05922165818957,68.0,0.5910000000035198,0.33800000000333846,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,19.644450754945822,1.0,0.0,-0.0,-19.644450754945836,249.38004082483295,-76.10860556074364,0.0,76.10860556074364,195.3484104485092,0.0,19.644450754945822,221.2
18,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,1.070110942816001,1.0,0.0,0.0,-1.070110942816001,250.45015176764895,-76.1086055607484,0.0,76.1086055607484,195.34841044851404,0.0,1.070110942816001,221.2
19,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.89001692046986,115.05922165819109,68.0,0.5910000000034386,0.33800000000332575,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,16.694300406838806,1.0,0.0,0.0,-16.694300406838806,267.14445217448775,-76.1086055607484,0.0,76.1086055607484,195.34841044851404,0.0,16.694300406838806,221.2
