t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.61158830034623,146.93361395003515,1.0741374211466856,1.0,0.0,114.37905085214385,1.0,0.0,0.0,-114.37905085214385,114.37905085214385,0.0,0.0,0.0,146.93361395003515,0.0,114.37905085214385,157.61158830034623
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.35782033034735,104.04641294287292,1.0828008677175187,1.0,0.0,62.554130666130135,1.0,0.0,0.0,-62.554130666130135,176.93318151827398,0.0,0.0,0.0,104.04641294287292,0.0,62.554130666130135,112.35782033034735
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.23696638860147,95.40253832416825,1.0845469771433034,1.0,0.0,0.0,1.0,0.0,0.0,0.0,176.933181518274,0.0,0.0,0.0,95.40253832416825,0.0,0.0,103.23696638860196
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.49267334594066,124.07600893447055,1.0787547809915605,1.0,0.0,66.47636643772537,1.0,0.0,0.0,-66.47636643772537,243.4095479559994,0.0,0.0,0.0,124.07600893447055,0.0,66.47636643772537,133.49267334594066
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,8.845722647438222,1.0,0.0,0.0,-8.845722647438208,252.2552706034376,0.0,0.0,0.0,78.30882352940881,0.0,8.845722647438222,85.2
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,13.663768274154307,1.0,0.0,0.0,-13.663768274154307,265.9190388775919,0.0,0.0,0.0,78.30882352940881,0.0,13.663768274154307,85.2
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,14.079441234301825,1.0,0.0,0.0,-14.07944123430184,279.99848011189374,0.0,0.0,0.0,78.30882352940881,0.0,14.079441234301825,85.2
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.45810869309312,1.0,63.45810869309312,216.54037141880062,0.0,0.0,0.0,0.0,0.0,0.0,63.4581086930931
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,26.16721038488049,1.0,0.0,0.0,-26.16721038488049,242.7075818036811,0.0,0.0,0.0,78.30882352940881,0.0,26.16721038488049,85.2
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,30.90592425748551,1.0,0.0,0.0,-30.90592425748551,273.6135060611666,0.0,0.0,0.0,78.30882352940881,0.0,30.90592425748551,85.2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.66884135078776,1.0,52.66884135078777,220.94466471037885,0.0,0.0,0.0,0.0,0.0,0.0,52.668841350787744
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.709911754122345,1.0,48.709911754122345,172.2347529562565,0.0,0.0,0.0,0.0,0.0,0.0,48.70991175412233
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.999345836215866,1.0,49.999345836215866,122.23540712004063,0.0,0.0,0.0,0.0,0.0,0.0,49.999345836215845
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88161482923854,1.0,51.88161482923854,70.35379229080209,0.0,0.0,0.0,0.0,0.0,0.0,51.8816148292385
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,24.53939761435484,1.0,0.0,0.0,-24.53939761435484,94.89318990515693,0.0,0.0,0.0,78.30882352940881,0.0,24.53939761435484,85.2
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,17.37630115482976,1.0,0.0,0.0,-17.37630115482976,112.26949105998669,0.0,0.0,0.0,78.30882352940881,0.0,17.37630115482976,85.2
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940871,1.0879999999879681,1.0,0.0,17.868815616821465,1.0,0.0,0.0,-17.868815616821465,130.13830667680816,0.0,0.0,0.0,78.30882352940871,0.0,17.868815616821465,85.2
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.31620715613366,1.0,71.31620715613366,58.8220995206745,0.0,0.0,0.0,0.0,0.0,0.0,71.31620715613359
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,22.03295116728247,1.0,0.0,0.0,-22.03295116728247,80.85505068795698,0.0,0.0,0.0,78.30882352940881,0.0,22.03295116728247,85.2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.156346653658005,1.0,59.156346653658005,21.69870403429897,0.0,0.0,0.0,0.0,0.0,0.0,59.15634665365794
21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,42.67852042723446,1.0,0.0,0.0,-42.67852042723446,64.37722446153343,0.0,0.0,0.0,78.30882352940881,0.0,42.67852042723446,85.2
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43408019322965,1.0,42.43408019322965,21.943144268303783,0.0,0.0,0.0,0.0,0.0,0.0,42.43408019322965
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940934,1.0879999999879681,1.0,0.0,42.37842524736426,1.0,0.0,0.0,-42.37842524736426,64.32156951566805,0.0,0.0,0.0,78.30882352940934,0.0,42.37842524736426,85.2
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.63284968572364,1.0,43.63284968572364,20.688719829944404,0.0,0.0,0.0,0.0,0.0,0.0,43.63284968572364
