t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.401864283866914,1.0,39.40186428386693,280.5981357161331,0.0,0.0,0.0,0.0,0.0,0.0,39.40186428386688
2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.990193300410155,1.0,46.990193300410155,233.60794241572296,0.0,0.0,0.0,0.0,0.0,0.0,46.99019330041012
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967815,0.3200000000069758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7485820427229,1.0,16.748582042722916,216.85936037300004,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,0.0,91.74858204272488
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.214423170475264,1.0,0.0,0.0,-12.214423170475271,229.07378354347532,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,12.214423170475264,75.0
5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.176951413398356,1.0,0.0,-0.0,-8.176951413398356,237.25073495687369,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,8.176951413398356,75.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.288303936647083,1.0,0.0,-0.0,-10.288303936647083,247.53903889352077,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,10.288303936647083,75.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999771806211,38.095237225928976,119.04761633102962,74.99999828854845,0.6299999856206048,0.31999999270479085,0.9999999771806211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.203619906827505,0.999999977180621,1.4329743970281806e-06,2.2819379098870317e-08,-12.203618473853084,259.74265736737385,-38.095237225928976,0.0,38.095237225928976,0.0,0.0,12.203619906827505,74.99999972152284
8,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.619084288138083,1.0,0.0,0.0,-9.619084288138083,269.36174165551193,-37.21858864027854,0.0,37.21858864027854,117.03958691910523,0.0,9.619084288138083,68.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.340383334853477,1.0,0.0,-0.0,-18.34038333485347,287.7021249903654,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,18.340383334853477,75.0
10,1.0,31.890626637376243,105.64898992854249,63.0878153083885,0.5991750833532348,0.29982491664033895,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253462306994678,1.0,0.0,-0.0,-12.253462306994663,299.95558729736007,-31.890626637376243,0.0,31.890626637376243,105.64898992854249,0.0,12.253462306994678,63.0878153083885
11,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52570148361391,1.0,47.52570148361386,252.4298858137462,0.0,0.0,0.0,0.0,0.0,0.0,47.525701483613865
12,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.30997143763793,1.0,43.30997143763793,209.11991437610828,0.0,0.0,0.0,0.0,0.0,0.0,43.30997143763789
