t  ,chp1.bin ,chp1.power        ,chp1.gas           ,chp1.heat ,chp1.eta_th        ,chp1.eta_el       ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power        ,chp2.gas           ,chp2.heat ,chp2.eta_th        ,chp2.eta_el       ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat       ,boiler1.gas        ,boiler1.eta_th     ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,ngas_grid.gas_balance ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin
 1 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          5.657945468496337  ,                        1.0 ,5.657945468496337          ,         314.34205453150366 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   117.03958691910134 ,                   0.0 ,    0.0               ,   141.65794546849713
 2 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        0.0 ,  0.0              ,  0.0              ,0.0                ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,         10.058093966150324  ,                        1.0 ,10.058093966150324         ,         304.28396056535337 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   117.03958691910134 ,                   0.0 ,    0.0               ,   146.05809396615078
 3 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 98.26587130486439 , 90.69140898299852 ,1.0854986507662285 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,          0.0                ,                        0.0 ,0.0                        ,         304.28396056535337 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   207.73099590209986 ,                   0.0 ,    0.0               ,   234.2658713048652
 4 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,174.0              ,162.46498599439482 ,1.07100000000252   ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,         67.81893254322154   ,                        1.0 ,67.81893254322154          ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   279.5045729134962  ,                   0.0 ,    0.0               ,   377.81893254322233
 5 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,141.24856876614865 ,131.42630617596228 ,1.0772699812071989 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          0.0                ,                        1.0 ,0.0                        ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   248.46589309506362 ,                   0.0 ,    0.0               ,   277.24856876614945
 6 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,146.55533969734188 ,136.45555703913752 ,1.0762540453307317 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          0.0                ,                        1.0 ,0.0                        ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   253.49514395823886 ,                   0.0 ,    0.0               ,   282.5553396973427
 7 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,118.46961668038233 ,109.83859004407171 ,1.0816308166290234 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          0.0                ,                        1.0 ,0.0                        ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   226.87817696317305 ,                   0.0 ,    0.0               ,   254.46961668038313
 8 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,120.77642666862465 ,112.02476432499932 ,1.0811891975997427 ,       1.0 ,       0.0 ,        0.0               ,                     1.0 ,          0.0                ,                        0.0 ,0.0                        ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   229.06435124410066 ,                   0.0 ,    0.0               ,   256.77642666862545
 9 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 ,108.07998389809484 , 99.99228796774591 ,1.0836198229049119 ,       1.0 ,       0.0 ,        0.0               ,                     0.0 ,          0.0                ,                        1.0 ,0.0                        ,         236.46502802213183 ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   217.03187488684725 ,                   0.0 ,    0.0               ,   244.07998389809563
10 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,     1.0 ,37.21858864027672 ,117.03958691910134 ,     68.0 ,0.5809999999942707 ,0.317999999999303 ,    1.0 ,    0.0 ,        1.0 , 99.04475241503265 , 91.42955814119931 ,1.0853495406437865 ,       1.0 ,       0.0 ,       30.06701534458081  ,                     1.0 ,          0.0                ,                        0.0 ,-30.06701534458081         ,         266.5320433667126  ,-74.43717728055344       ,                    0.0 ,      74.43717728055344 ,   208.46914506030066 ,                   0.0 ,   30.06701534458081  ,   235.04475241503343
