t  ,chp1.bin ,chp1.power         ,chp1.gas           ,chp1.heat ,chp1.eta_th        ,chp1.eta_el         ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power         ,chp2.gas           ,chp2.heat         ,chp2.eta_th        ,chp2.eta_el         ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat ,boiler1.gas ,boiler1.eta_th ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,ngas_grid.gas_balance ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin
 1 ,     1.0 ,37.21858864028198  ,117.03958691911257 ,     68.0 ,0.5809999999942527 ,0.31799999999932094 ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       62.44044280497807  ,                     1.0 ,           0.0               ,                        0.0 ,-62.44044280497809         ,         382.4404428049781  ,-37.21858864028198       ,                    0.0 ,     37.21858864028198  ,   117.03958691911257 ,                   0.0 ,   62.44044280497807  ,   68.0
 2 ,     1.0 ,26.372168284780397 , 93.85113268605785 ,     58.0 ,0.6179999999943068 ,0.28099999999926695 ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        8.652893683452813 ,                     1.0 ,           0.0               ,                        0.0 ,-8.652893683452813         ,         391.0933364884309  ,-26.372168284780397      ,                    0.0 ,     26.372168284780397 ,    93.85113268605785 ,                   0.0 ,    8.652893683452813 ,   58.0
 3 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027854  ,117.03958691910523 ,68.0              ,0.5809999999942644 ,0.31799999999930917 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          27.48301447281939  ,                        1.0 ,27.48301447281939          ,         363.61032201561153 ,-37.21858864027854       ,                    0.0 ,     37.21858864027854  ,     0.0              ,                   0.0 ,    0.0               ,   95.48301447282147
 4 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027628  ,117.0395869191004  ,68.0              ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       11.250408219513524 ,                     1.0 ,           0.0               ,                        0.0 ,-11.250408219513524        ,         374.86073023512506 ,-37.21858864027628       ,                    0.0 ,     37.21858864027628  ,     0.0              ,                   0.0 ,   11.250408219513524 ,   68.0
 5 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,26.372168284789346 , 93.851132686077   ,58.0              ,0.6179999999942762 ,0.2809999999992975  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        8.49624968646836  ,                     1.0 ,           0.0               ,                        0.0 ,-8.496249686468332         ,         383.3569799215934  ,-26.372168284789346      ,                    0.0 ,     26.372168284789346 ,     0.0              ,                   0.0 ,    8.49624968646836  ,   58.0
 6 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          23.800422893263516 ,                        1.0 ,23.800422893263544         ,         359.55655702832985 ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   23.800422893263466
 7 ,     1.0 ,26.372168284789314 , 93.85113268607691 ,     58.0 ,0.6179999999942764 ,0.28099999999929737 ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        7.454524975787461 ,                     1.0 ,           0.0               ,                        0.0 ,-7.454524975787461         ,         367.0110820041173  ,-26.372168284789314      ,                    0.0 ,     26.372168284789314 ,    93.85113268607691 ,                   0.0 ,    7.454524975787461 ,   58.0
 8 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027854  ,117.03958691910523 ,68.0              ,0.5809999999942644 ,0.31799999999930917 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       19.004341272880694 ,                     1.0 ,           0.0               ,                        0.0 ,-19.004341272880694        ,         386.01542327699804 ,-37.21858864027854       ,                    0.0 ,     37.21858864027854  ,     0.0              ,                   0.0 ,   19.004341272880694 ,   68.0
 9 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864028198  ,117.03958691911257 ,68.0              ,0.5809999999942527 ,0.31799999999932094 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,           1.682665807151217 ,                        1.0 ,1.6826658071512384         ,         384.3327574698468  ,-37.21858864028198       ,                    0.0 ,     37.21858864028198  ,     0.0              ,                   0.0 ,    0.0               ,   69.68266580715647
10 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,31.754436553257626 ,105.35783050183096 ,62.96225306789343 ,0.5996396636430664 ,0.2993603363505072  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       13.495466969450092 ,                     1.0 ,           0.0               ,                        0.0 ,-13.495466969450092        ,         397.8282244392969  ,-31.754436553257626      ,                    0.0 ,     31.754436553257626 ,     0.0              ,                   0.0 ,   13.495466969450092 ,   62.96225306789343
11 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          44.278683107223415 ,                        1.0 ,44.2786831072234           ,         353.5495413320735  ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   44.2786831072234
12 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          22.48062270681777  ,                        1.0 ,22.48062270681777          ,         331.0689186252557  ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   22.480622706817734
13 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,           4.363685219917784 ,                        1.0 ,4.363685219917784          ,         326.70523340533794 ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,    4.363685219917748
14 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027853  ,117.0395869191052  ,68.0              ,0.5809999999942643 ,0.31799999999930917 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       14.897472193446895 ,                     1.0 ,           0.0               ,                        0.0 ,-14.897472193446895        ,         341.60270559878484 ,-37.21858864027853       ,                    0.0 ,     37.21858864027853  ,     0.0              ,                   0.0 ,   14.897472193446895 ,   68.0
15 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,34.980688513773934 ,112.25520248988835 ,65.9367385246407  ,0.5886340674530945 ,0.31036593254047157 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     1.0 ,           0.0               ,                        0.0 ,0.0                        ,         341.60270559878484 ,-34.980688513773934      ,                    0.0 ,     34.980688513773934 ,     0.0              ,                   0.0 ,    0.0               ,   65.93673852464127
16 ,     1.0 ,37.21858864027628  ,117.0395869191004  ,     68.0 ,0.5809999999942721 ,0.3179999999993015  ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       37.26982675287138  ,                     1.0 ,           0.0               ,                        0.0 ,-37.26982675287138         ,         378.8725323516562  ,-37.21858864027628       ,                    0.0 ,     37.21858864027628  ,   117.0395869191004  ,                   0.0 ,   37.26982675287138  ,   68.0
17 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          27.19614092916649  ,                        1.0 ,27.19614092916649          ,         351.67639142248976 ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   27.19614092916644
18 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027854  ,117.03958691910522 ,68.0              ,0.5809999999942645 ,0.31799999999930917 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          10.921804633696198 ,                        1.0 ,10.921804633696183         ,         340.7545867887936  ,-37.21858864027854       ,                    0.0 ,     37.21858864027854  ,     0.0              ,                   0.0 ,    0.0               ,   78.92180463369827
19 ,     1.0 ,37.21858864027854  ,117.03958691910523 ,     68.0 ,0.5809999999942644 ,0.31799999999930917 ,    1.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       11.735224409542614 ,                     1.0 ,           0.0               ,                        0.0 ,-11.735224409542614        ,         352.4898111983362  ,-37.21858864027854       ,                    0.0 ,     37.21858864027854  ,   117.03958691910523 ,                   0.0 ,   11.735224409542614 ,   68.0
20 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          19.83994278034956  ,                        1.0 ,19.83994278034956          ,         332.6498684179867  ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   19.839942780349546
21 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          15.213526720257931 ,                        1.0 ,15.21352672025796          ,         317.4363416977287  ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   15.213526720257892
22 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,37.21858864027854  ,117.03958691910523 ,68.0              ,0.5809999999942644 ,0.31799999999930917 ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       44.24768421408643  ,                     1.0 ,           0.0               ,                        0.0 ,-44.24768421408646         ,         361.6840259118152  ,-37.21858864027854       ,                    0.0 ,     37.21858864027854  ,     0.0              ,                   0.0 ,   44.24768421408643  ,   68.0
23 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     0.0 , 0.0               ,  0.0              , 0.0              ,0.0                ,0.0                 ,    0.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,        0.0               ,                     0.0 ,          17.83847711153402  ,                        1.0 ,17.838477111529926         ,         343.84554880028526 ,0.0                      ,                    0.0 ,      0.0               ,     0.0              ,                   0.0 ,    0.0               ,   17.838477111538086
24 ,     0.0 , 0.0               ,  0.0              ,      0.0 ,0.0                ,0.0                 ,    0.0 ,    0.0 ,     1.0 ,26.372168284789346 , 93.851132686077   ,58.0              ,0.6179999999942762 ,0.2809999999992975  ,    1.0 ,    0.0 ,        0.0 ,         0.0 ,        0.0 ,           0.0 ,       0.0 ,       0.0 ,       38.59489400469283  ,                     1.0 ,           0.0               ,                        0.0 ,-38.59489400469283         ,         382.4404428049781  ,-26.372168284789346      ,                    0.0 ,     26.372168284789346 ,     0.0              ,                   0.0 ,   38.59489400469283  ,   58.0
