t,Scenario9.GAS_PRICE,Scenario9.POWER_PRICE,Scenario9.HEAT_PRICE,Scenario9.heat_demand,Scenario9.heat_demand_scenario,Scenario9.delta_heat_demand,Scenario9.probability,Scenario9.heat_storage1.initial_soc,Scenario9.chp1.bin,Scenario9.chp1.power,Scenario9.chp1.gas,Scenario9.chp1.heat,Scenario9.chp1.eta_th,Scenario9.chp1.eta_el,Scenario9.chp1.y1,Scenario9.chp1.y2,Scenario9.chp2.bin,Scenario9.chp2.power,Scenario9.chp2.gas,Scenario9.chp2.heat,Scenario9.chp2.eta_th,Scenario9.chp2.eta_el,Scenario9.chp2.y1,Scenario9.chp2.y2,Scenario9.boiler1.bin,Scenario9.boiler1.heat,Scenario9.boiler1.gas,Scenario9.boiler1.eta_th,Scenario9.boiler1.y1,Scenario9.boiler1.y2,Scenario9.heat_storage1.heat_charge,Scenario9.heat_storage1.bin_charge,Scenario9.heat_storage1.heat_discharge,Scenario9.heat_storage1.bin_discharge,Scenario9.heat_storage1.heat_balance,Scenario9.heat_storage1.heat_capacity,Scenario9.heat_storage1.dispatch_heat_capacity,Scenario9.heat_storage1.dispatch_heat_charge,Scenario9.heat_storage1.dispatch_heat_discharge,Scenario9.ngas_grid.gas_balance,Scenario9.power_grid.power_balance,Scenario9.power_grid.power_supply,Scenario9.power_grid.power_feedin,Scenario9.heat_grid.heat_balance,Scenario9.heat_grid.heat_supply,Scenario9.heat_grid.heat_feedin,Scenario9.heat_grid.dispatch_heat_feedin,Scenario9.heat_grid.dispatch_heat_supply,Scenario9.heat_grid.dispatch_heat_balance,Scenario9.arc01_expanded.power,Scenario9.arc02_expanded.power,Scenario9.arc03_expanded.heat,Scenario9.arc04_expanded.heat,Scenario9.arc05_expanded.heat,Scenario9.arc06_expanded.gas,Scenario9.arc07_expanded.gas,Scenario9.arc08_expanded.heat
1,0.1543,0.251,0.105,124.98977175223166,112.25811373104145,12.731658021190214,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.010228247772488,1.0,0.0,0.0,-11.010228247772488,331.0102282477725,343.74188626896273,12.731658021190214,0.0,117.03958691910523,-74.43717728055708,0.0,74.43717728055708,0.0,11.010228247772488,136.0,0.0,12.731658021190214,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,0.0
2,0.1543,0.251,0.105,145.55580401563068,136.83810207576087,8.717701939869812,0.09732383944371831,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,37.21858864027628,117.03958691910034,68.0,0.580999999994272,0.31799999999930145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555804015630713,1.0,9.555804015630713,321.4544242321418,342.90378419320183,8.717701939869812,0.0,117.0395869191004,-74.43717728055256,0.0,74.43717728055256,0.0,0.0,145.55580401563068,0.0,8.717701939869812,0.0,37.21858864027628,37.21858864027628,68.0,68.0,0.0,0.0,117.0395869191004,9.555804015630713
3,0.1543,0.251,0.105,275.34757457519004,279.63662804259695,-4.289053467406916,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,139.3475745751859,129.62472536538056,1.0776339102752885,1.0,0.0,0.0,0.0,0.0,1.0,0.0,321.4544242321418,338.6147307257949,0.0,4.289053467406916,246.6643122844858,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,275.34757457519004,4.289053467406916,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,139.3475745751859,129.62472536538056,117.03958691910523,0.0
4,0.1543,0.251,0.105,181.00211485371895,169.7827593249437,11.219355528775253,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,40.1978851462852,1.0,0.0,0.0,-40.1978851462852,361.652309378427,390.03197140085535,11.219355528775253,0.0,195.34841044851404,-74.43717728055708,0.0,74.43717728055708,0.0,40.1978851462852,221.2,0.0,11.219355528775253,0.0,37.21858864027854,37.21858864027854,68.0,68.0,85.2,78.30882352940881,117.03958691910523,0.0
5,0.1543,0.251,0.105,182.70854845981543,187.37051195390202,-4.661963494086592,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.70854845981128,1.0,46.70854845981131,314.9437609186157,338.66145944695745,0.0,4.661963494086592,117.03958691910523,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,182.70854845981543,4.661963494086592,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,46.70854845981128
6,0.1543,0.251,0.105,178.58838689263337,175.4380420412797,3.1503448513536796,0.09732383944371831,320.0,1.0,37.21858864027628,117.03958691910034,68.0,0.580999999994272,0.31799999999930145,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.58838689263295,1.0,42.58838689263297,272.3553740259827,299.2234174056782,3.1503448513536796,0.0,117.03958691909885,-74.43717728055482,0.0,74.43717728055482,0.0,0.0,178.58838689263337,0.0,3.1503448513536796,0.0,37.21858864027628,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910034,42.58838689263295
7,0.1543,0.251,0.105,195.4773022704869,159.22250614273102,36.25479612775587,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,25.72269772951519,1.0,0.0,0.0,-25.722697729515176,298.0780717554979,361.20091126294926,36.25479612775587,0.0,195.34841044851404,-74.43717728055482,0.0,74.43717728055482,0.0,25.72269772951519,221.2,0.0,36.25479612775587,0.0,37.21858864027854,37.21858864027628,68.0,68.0,85.2,78.30882352940881,117.03958691910523,0.0
8,0.1543,0.251,0.105,200.11534958005032,164.6716225176233,35.44372706242703,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,94.5052281334479,87.12743040522187,1.0862185937157114,1.0,0.0,30.38987855340173,1.0,0.0,0.0,-30.38987855340173,328.4679503088996,427.03451687877805,35.44372706242703,0.0,204.1670173243271,-74.43717728055708,0.0,74.43717728055708,0.0,30.38987855340173,230.50522813345205,0.0,35.44372706242703,0.0,37.21858864027854,37.21858864027854,68.0,68.0,94.5052281334479,87.12743040522187,117.03958691910523,0.0
9,0.1543,0.251,0.105,186.4453130916542,232.06675058993437,-45.62143749828016,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,85.2,78.30882352940883,1.08800000000252,1.0,0.0,34.75468690834995,1.0,0.0,0.0,-34.75468690834998,363.2226372172496,416.1677662888478,0.0,45.62143749828016,195.34841044851407,-74.43717728055708,0.0,74.43717728055708,0.0,34.75468690834995,221.2,45.62143749828016,0.0,0.0,37.21858864027854,37.21858864027854,68.0,68.0,85.2,78.30882352940883,117.03958691910523,0.0
10,0.1543,0.251,0.105,160.56926082393596,121.59174536716915,38.97751545676681,0.09732383944371831,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.569260823935586,1.0,24.569260823935565,338.65337639331403,430.57602092167906,38.97751545676681,0.0,117.03958691910177,-74.43717728055708,0.0,74.43717728055708,0.0,0.0,160.56926082393596,0.0,38.97751545676681,0.0,37.21858864027854,37.21858864027854,68.0,68.0,0.0,0.0,117.03958691910523,24.569260823935586
