t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
1,0.1543,0.251,0.105,88.13061207321796,75.39895405202773,12.731658021190228,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,85.86938792678204,1.0,0.0,0.0,-85.86938792678204,85.86938792678204,12.731658021190228,12.731658021190228,0.0,111.3327039691625,162.46498599439482,0.0,0.0,0.0,0.0,85.86938792678204,174.0,12.731658021190228,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
2,0.1543,0.251,0.105,106.3100249930061,97.59232305313628,8.717701939869812,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,67.6899750069939,1.0,0.0,0.0,-67.6899750069939,153.55936293377596,8.717701939869812,8.717701939869812,0.0,196.45808285589604,162.46498599439482,0.0,0.0,0.0,0.0,67.6899750069939,174.0,8.717701939869812,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
3,0.1543,0.251,0.105,210.6748063564434,249.3028978128559,-38.62809145641248,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599440957,1.0709999999879651,1.0,0.0,0.0,0.0,36.674806356427865,1.0,36.674806356427865,116.88455657734809,-38.62809145641248,0.0,38.62809145641248,82.52709358664322,162.46498599440957,0.0,0.0,0.0,0.0,0.0,210.6748063564434,-38.62809145641248,0.0,0.0,0.0,0.0,174.0,162.46498599440957,0.0,36.674806356427865
4,0.1543,0.251,0.105,146.48074158117606,166.02947873023393,-19.54873714905787,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,27.519258418818055,1.0,0.0,0.0,-27.519258418818055,144.40381499616615,-19.54873714905787,0.0,19.54873714905787,70.94887770734553,162.46498599438928,0.0,0.0,0.0,0.0,27.519258418818055,174.0,-19.54873714905787,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
5,0.1543,0.251,0.105,158.7089092436237,163.3708727377103,-4.661963494086592,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,15.291090756376292,1.0,0.0,0.0,-15.291090756376292,159.69490575254244,-4.661963494086592,0.0,4.661963494086592,76.91604147554864,162.46498599439482,0.0,0.0,0.0,0.0,15.291090756376292,174.0,-4.661963494086592,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
6,0.1543,0.251,0.105,156.81798849107926,153.6676436397256,3.150344851353651,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,17.182011508920738,1.0,0.0,0.0,-17.182011508920738,176.87691726146318,3.150344851353651,3.150344851353651,0.0,100.39874268717668,162.46498599439482,0.0,0.0,0.0,0.0,17.182011508920738,174.0,3.150344851353651,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
7,0.1543,0.251,0.105,155.5721773995898,143.90665278298547,11.66552461660433,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,18.427822600410195,1.0,0.0,0.0,-18.427822600410195,195.30473986187337,11.66552461660433,11.66552461660433,0.0,142.15761452079553,162.46498599439482,0.0,0.0,0.0,0.0,18.427822600410195,174.0,11.66552461660433,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
8,0.1543,0.251,0.105,147.4562304387438,191.4481289504417,-43.99189851169791,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,26.543769561256198,1.0,0.0,0.0,-26.543769561256198,221.84850942312957,-43.99189851169791,0.0,43.99189851169791,80.71758705865591,162.46498599439482,0.0,0.0,0.0,0.0,26.543769561256198,174.0,-43.99189851169791,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
9,0.1543,0.251,0.105,145.68736008059668,91.55646231941103,54.13089776118565,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.4649859943999,1.0709999999879671,1.0,0.0,28.312639919408696,1.0,0.0,0.0,-28.312639919408696,250.16114934253827,54.13089776118565,54.13089776118565,0.0,217.2920225004359,162.4649859943999,0.0,0.0,0.0,0.0,28.312639919408696,174.0,54.13089776118565,0.0,0.0,0.0,0.0,174.0,162.4649859943999,0.0,0.0
10,0.1543,0.251,0.105,133.10499153939045,181.5118204030157,-48.406828863625236,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.895008460609546,1.0,0.0,0.0,-40.895008460609546,291.0561578031478,-48.406828863625236,0.0,48.406828863625236,161.37337323379498,162.46498599439482,0.0,0.0,0.0,0.0,40.895008460609546,174.0,-48.406828863625236,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
