t,Scenario3.GAS_PRICE,Scenario3.POWER_PRICE,Scenario3.HEAT_PRICE,Scenario3.heat_demand,Scenario3.heat_demand_scenario,Scenario3.delta_heat_demand,Scenario3.probability,Scenario3.chp1.bin,Scenario3.chp1.power,Scenario3.chp1.gas,Scenario3.chp1.heat,Scenario3.chp1.eta_th,Scenario3.chp1.eta_el,Scenario3.chp1.y1,Scenario3.chp1.y2,Scenario3.chp2.bin,Scenario3.chp2.power,Scenario3.chp2.gas,Scenario3.chp2.heat,Scenario3.chp2.eta_th,Scenario3.chp2.eta_el,Scenario3.chp2.y1,Scenario3.chp2.y2,Scenario3.boiler1.bin,Scenario3.boiler1.heat,Scenario3.boiler1.gas,Scenario3.boiler1.eta_th,Scenario3.boiler1.y1,Scenario3.boiler1.y2,Scenario3.heat_storage1.heat_charge,Scenario3.heat_storage1.bin_charge,Scenario3.heat_storage1.heat_discharge,Scenario3.heat_storage1.bin_discharge,Scenario3.heat_storage1.heat_balance,Scenario3.heat_storage1.heat_capacity,Scenario3.heat_storage1.dispatch,Scenario3.heat_storage1.dispatch_delta_heat_charge,Scenario3.heat_storage1.dispatch_delta_heat_discharge,Scenario3.heat_storage1.dispatch_heat_capacity,Scenario3.ngas_grid.gas_balance,Scenario3.power_grid.power_balance,Scenario3.power_grid.power_supply,Scenario3.power_grid.power_feedin,Scenario3.heat_grid.heat_balance,Scenario3.heat_grid.heat_supply,Scenario3.heat_grid.heat_feedin,Scenario3.heat_grid.dispatch_heat_feedin,Scenario3.arc01_expanded.power,Scenario3.arc02_expanded.heat,Scenario3.arc03_expanded.power,Scenario3.arc04_expanded.heat,Scenario3.arc05_expanded.heat,Scenario3.arc06_expanded.heat,Scenario3.arc07_expanded.gas,Scenario3.arc08_expanded.gas
1,0.1543,0.105,0.05,86.89020582132288,74.15854780013265,12.731658021190228,0.0018672693600639012,1.0,26.372168284788703,93.85113268603715,58.0,0.6179999999651707,0.2810000000106169,1.0,0.0,1.0,26.372168284790547,93.85113268603715,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,1.0,85.2,78.30882352940911,1.0879999999879681,1.0,0.0,116.0,1.0,1.6902058213225644,1.0,-114.30979417867742,114.30979417867742,12.731658021190228,12.731658021190228,0.0,139.7731102210579,172.15995621544624,-52.74433656957925,0.0,52.74433656957925,0.0,86.89020582132288,86.89020582132288,12.731658021190228,26.372168284788703,58.0,26.372168284790547,58.0,1.6902058213225644,85.2,78.30882352940911,93.85113268603715
2,0.1543,0.105,0.05,102.67012913651094,116.05627513486333,-13.38614599835239,0.0018672693600639012,1.0,26.372168284788707,93.85113268603715,58.0,0.6179999999651683,0.281000000010617,1.0,0.0,1.0,26.372168284790547,93.85113268603715,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,1.0,102.67012913651094,94.86534409130634,1.0846554932839063,1.0,0.0,116.0,1.0,0.0,1.0,-116.0,230.30979417867744,-13.38614599835239,0.0,13.38614599835239,229.0008182243531,188.71647677734347,-52.744336569579254,0.0,52.744336569579254,0.0,102.67012913651094,102.67012913651094,-13.38614599835239,26.372168284788707,58.0,26.372168284790547,58.0,0.0,102.67012913651094,94.86534409130634,93.85113268603715
3,0.1543,0.105,0.05,197.10818009752964,304.4143475319533,-107.30616743442366,0.0018672693600639012,1.0,26.37216828478874,93.85113268603695,58.0,0.617999999965168,0.28100000001061665,1.0,0.0,1.0,26.372168284790533,93.85113268603712,58.0,0.6179999999651683,0.2810000000106169,1.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,116.0,1.0,23.10818009752964,1.0,-92.89181990247044,323.20161408114785,-107.30616743442366,0.0,107.30616743442366,107.28030325797621,256.31611868043177,-52.744336569579275,0.0,52.744336569579275,0.0,197.10818009752964,197.10818009752964,-107.30616743442366,26.37216828478874,58.0,26.372168284790533,58.0,23.10818009752964,174.0,162.46498599439482,93.85113268603695
4,0.1543,0.105,0.05,131.41110425250923,150.9598414015671,-19.54873714905787,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790266,93.85113268603715,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,1.0,131.41110425250923,122.10329647040626,1.079153279579267,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,381.2016140811478,-19.54873714905787,0.0,19.54873714905787,126.18282895986044,122.10329647040624,-26.372168284790288,0.0,26.372168284790288,0.0,131.41110425250923,131.41110425250923,-19.54873714905787,0.0,0.0,26.372168284790266,58.0,0.0,131.41110425250923,122.10329647040626,0.0
5,0.1543,0.105,0.05,134.36278677058627,139.02475026467286,-4.661963494086592,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.36278677058627,124.90061937059039,1.0785882052233289,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.20161408114774,-4.661963494086592,0.0,4.661963494086592,116.85890197168725,124.90061937059039,0.0,0.0,0.0,0.0,134.36278677058627,134.36278677058627,-4.661963494086592,0.0,0.0,0.0,0.0,0.0,134.36278677058627,124.90061937059039,0.0
6,0.1543,0.105,0.05,133.35488413447985,130.20453928312617,3.1503448513536796,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.35488413447985,123.94542547427214,1.0787811595568177,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.20161408114774,3.1503448513536796,3.1503448513536796,0.0,123.15959167439462,123.94542547427214,0.0,0.0,0.0,0.0,133.35488413447985,133.35488413447985,3.1503448513536796,0.0,0.0,0.0,0.0,0.0,133.35488413447985,123.94542547427214,0.0
7,0.1543,0.105,0.05,148.67082790766605,112.41603177991018,36.25479612775587,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.67082790770945,138.46041480405256,1.0758490532038345,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.2016140811911,36.25479612775587,36.25479612775587,0.0,195.66918392994972,138.46041480405256,0.0,0.0,0.0,0.0,148.67082790766605,148.67082790766605,36.25479612775587,0.0,0.0,0.0,0.0,0.0,148.67082790770945,138.46041480405256,0.0
8,0.1543,0.105,0.05,155.76612945938308,173.27948611303935,-17.513356653656274,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.76612945938308,145.1846642423489,1.0744907184473205,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.2016140811911,-17.513356653656274,0.0,17.513356653656274,160.64247062263718,145.1846642423489,0.0,0.0,0.0,0.0,155.76612945938308,155.76612945938308,-17.513356653656274,0.0,0.0,0.0,0.0,0.0,155.76612945938308,145.1846642423489,0.0
9,0.1543,0.105,0.05,149.41335246313022,145.1586223316775,4.254730131452732,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.41335246313022,139.16410869054167,1.0757069032326392,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.2016140811911,4.254730131452732,4.254730131452732,0.0,169.15193088554264,139.16410869054167,0.0,0.0,0.0,0.0,149.41335246313022,149.41335246313022,4.254730131452732,0.0,0.0,0.0,0.0,0.0,149.41335246313022,139.16410869054167,0.0
10,0.1543,0.105,0.05,132.52799498318225,151.80670907334346,-19.278714090161202,0.0018672693600639012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.52799498318225,123.16177887790802,1.0789394604078544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,381.2016140811911,-19.278714090161202,0.0,19.278714090161202,130.59450270522024,123.16177887790802,0.0,0.0,0.0,0.0,132.52799498318225,132.52799498318225,-19.278714090161202,0.0,0.0,0.0,0.0,0.0,132.52799498318225,123.16177887790802,0.0
