t   ,Scenario4.GAS_PRICE ,Scenario4.POWER_PRICE ,Scenario4.HEAT_PRICE ,Scenario4.heat_demand ,Scenario4.heat_demand_scenario ,Scenario4.delta_heat_demand ,Scenario4.probability ,Scenario4.chp1.bin ,Scenario4.chp1.power ,Scenario4.chp1.gas ,Scenario4.chp1.heat ,Scenario4.chp1.eta_th ,Scenario4.chp1.eta_el ,Scenario4.chp1.y1 ,Scenario4.chp1.y2 ,Scenario4.chp2.bin ,Scenario4.chp2.power ,Scenario4.chp2.gas ,Scenario4.chp2.heat ,Scenario4.chp2.eta_th ,Scenario4.chp2.eta_el ,Scenario4.chp2.y1 ,Scenario4.chp2.y2 ,Scenario4.boiler1.bin ,Scenario4.boiler1.heat ,Scenario4.boiler1.gas ,Scenario4.boiler1.eta_th ,Scenario4.boiler1.y1 ,Scenario4.boiler1.y2 ,Scenario4.heat_storage1.heat_charge ,Scenario4.heat_storage1.bin_charge ,Scenario4.heat_storage1.heat_discharge ,Scenario4.heat_storage1.bin_discharge ,Scenario4.heat_storage1.heat_balance ,Scenario4.heat_storage1.heat_capacity ,Scenario4.heat_storage1.dispatch_heat_capacity ,Scenario4.heat_storage1.dispatch_heat_charge ,Scenario4.heat_storage1.dispatch_heat_discharge ,Scenario4.ngas_grid.gas_balance ,Scenario4.power_grid.power_balance ,Scenario4.power_grid.power_supply ,Scenario4.power_grid.power_feedin ,Scenario4.heat_grid.heat_balance ,Scenario4.heat_grid.heat_supply ,Scenario4.heat_grid.heat_feedin ,Scenario4.heat_grid.dispatch_heat_feedin ,Scenario4.heat_grid.dispatch_heat_supply ,Scenario4.heat_grid.dispatch_heat_balance ,Scenario4.arc01_expanded.power ,Scenario4.arc02_expanded.power ,Scenario4.arc03_expanded.heat ,Scenario4.arc04_expanded.heat ,Scenario4.arc05_expanded.heat ,Scenario4.arc06_expanded.gas ,Scenario4.arc07_expanded.gas ,Scenario4.arc08_expanded.heat
  1 ,             0.1543 ,                0.251 ,               0.105 ,    88.13061207321796 ,            53.95430848869478  ,34.17630358452318           ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                85.86938792678204   ,                               1.0 ,                   0.0                 ,                                  0.0 ,-85.86938792678204                   ,                   85.86938792678204  ,                            120.04569151130522 ,                         34.17630358452318   ,                              0.0               ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            85.86938792678204   ,             174.0              ,                       0.0               ,                     34.17630358452318   ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,          0.0
  2 ,             0.1543 ,                0.251 ,               0.105 ,   106.3100249930061  ,            75.48847511491408  ,30.821549878092014          ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                67.6899750069939    ,                               1.0 ,                   0.0                 ,                                  0.0 ,-67.68997500699392                   ,                  153.55936293377596  ,                            218.55721639639117 ,                         30.821549878092014  ,                              0.0               ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            67.6899750069939    ,             174.0              ,                       0.0               ,                     30.821549878092014  ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,          0.0
  3 ,             0.1543 ,                0.251 ,               0.105 ,   210.6748063564434  ,           249.3028978128559   ,-38.62809145641248          ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                 0.0                ,                               0.0 ,                  36.67480635644341    ,                                  1.0 ,36.67480635644341                    ,                  116.88455657733255  ,                            143.25431858353528 ,                          0.0                ,                             38.62809145641248  ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             0.0                ,             210.6748063564434  ,                      38.62809145641248  ,                      0.0                ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,         36.67480635644341
  4 ,             0.1543 ,                0.251 ,               0.105 ,   146.48074158117606 ,           135.2613860524008   ,11.219355528775253          ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439485 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                27.519258418823966  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-27.519258418823966                  ,                  144.4038149961565   ,                            181.9929325311345  ,                         11.219355528775253  ,                              0.0               ,             162.46498599439485 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            27.519258418823966  ,             174.0              ,                       0.0               ,                     11.219355528775253  ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439485 ,                         0.0 ,          0.0
  5 ,             0.1543 ,                0.251 ,               0.105 ,   158.7089092436237  ,           137.7495843625885   ,20.9593248810352            ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                15.291090756376292  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-15.291090756376292                  ,                  159.6949057525328   ,                            218.243348168546   ,                         20.9593248810352    ,                              0.0               ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            15.291090756376292  ,             174.0              ,                       0.0               ,                     20.9593248810352    ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,          0.0
  6 ,             0.1543 ,                0.251 ,               0.105 ,   156.81798849107926 ,           127.41761373325416  ,29.400374757825105          ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.4649859944357  ,      1.0709999999879598 ,                 1.0 ,                 0.0 ,                17.182011508963853  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-17.182011508963853                  ,                  176.87691726149666  ,                            264.8257344353349  ,                         29.400374757825105  ,                              0.0               ,             162.4649859944357  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            17.182011508963853  ,             174.0              ,                       0.0               ,                     29.400374757825105  ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.4649859944357  ,                         0.0 ,          0.0
  7 ,             0.1543 ,                0.251 ,               0.105 ,   155.5721773995898  ,           168.49592429413707  ,-12.923746894547264         ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.4649859944357  ,      1.0709999999879598 ,                 1.0 ,                 0.0 ,                18.42782260045334   ,                               1.0 ,                   0.0                 ,                                  0.0 ,-18.42782260045334                   ,                  195.30473986195     ,                            270.32981014124096 ,                          0.0                ,                             12.923746894547264 ,             162.4649859944357  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            18.42782260045334   ,             174.0              ,                      12.923746894547264 ,                      0.0                ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.4649859944357  ,                         0.0 ,          0.0
  8 ,             0.1543 ,                0.251 ,               0.105 ,   147.4562304387438  ,           164.96958709240005  ,-17.513356653656245         ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    156.9489279858354  ,   146.3056077666222  ,      1.0742642817924817 ,                 1.0 ,                 0.0 ,                 9.492697547091609  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-9.492697547091609                   ,                  204.7974374090416   ,                            262.30915103467635 ,                          0.0                ,                             17.513356653656245 ,             146.3056077666222  ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,             9.492697547091609  ,             156.9489279858354  ,                      17.513356653656245 ,                      0.0                ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           156.9489279858354  ,          146.3056077666222  ,                         0.0 ,          0.0
  9 ,             0.1543 ,                0.251 ,               0.105 ,   145.68736008059668 ,           116.49454613427748  ,29.19281394631919           ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                28.312639919403324  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-28.312639919403324                  ,                  233.11007732844493  ,                            319.8146049003989  ,                         29.19281394631919   ,                              0.0               ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            28.312639919403324  ,             174.0              ,                       0.0               ,                     29.19281394631919   ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,          0.0
 10 ,             0.1543 ,                0.251 ,               0.105 ,   133.10499153939045 ,            94.12747608262364  ,38.97751545676681           ,   0.9621623671516434 ,               0.0 ,                 0.0 ,               0.0 ,                0.0 ,                  0.0 ,                  0.0 ,              0.0 ,              0.0 ,               0.0 ,   0.0               ,  0.0              ,                0.0 ,   0.0                ,   0.0                ,              0.0 ,              0.0 ,                  1.0 ,    174.0              ,   162.46498599439482 ,      1.070999999987968  ,                 1.0 ,                 0.0 ,                40.895008460609546  ,                               1.0 ,                   0.0                 ,                                  0.0 ,-40.895008460609546                  ,                  274.0050857890545   ,                            399.6871288177752  ,                         38.97751545676681   ,                              0.0               ,             162.46498599439482 ,0.0                                ,                              0.0 ,                0.0               ,                             0.0 ,            40.895008460609546  ,             174.0              ,                       0.0               ,                     38.97751545676681   ,                                      0.0 ,                           0.0 ,             0.0               ,                          0.0 ,                          0.0 ,           174.0              ,          162.46498599439482 ,                         0.0 ,          0.0
