t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.gas,Scenario1.arc06_expanded.gas
1,0.1543,0.251,0.105,34.75608232852915,34.75608232852915,0.0,0.03415418949006244,1.0,26.37216828479055,93.8511326860359,58.0,0.6179999999651684,0.28099999972619116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,34.75608232852915,1.0,-23.243917671470847,23.243917671470847,0.0,0.0,0.0,23.243917671470847,93.8511326860359,-26.37216828479055,0.0,26.37216828479055,0.0,34.75608232852915,34.75608232852915,0.0,34.75608232852915,0.0,0.0,93.8511326860359
2,0.1543,0.251,0.105,41.068051654604375,41.068051654604375,0.0,0.03415418949006244,1.0,26.37216828479088,93.85113268603715,58.0,0.6179999999651684,0.28099999999366715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,41.068051654604375,1.0,-16.931948345395625,40.17586601686648,0.0,0.0,0.0,40.17586601686648,93.85113268603715,-26.37216828479088,0.0,26.37216828479088,0.0,41.068051654604375,41.068051654604375,0.0,41.068051654604375,0.0,0.0,93.85113268603715
3,0.1543,0.251,0.105,78.84327203901185,78.84327203901185,0.0,0.03415418949006244,1.0,26.37216828479088,93.85113268603715,58.0,0.6179999999651684,0.28099999999366715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,78.84327203901185,1.0,20.84327203901185,19.33259397785463,0.0,0.0,0.0,19.33259397785463,93.85113268603715,-26.37216828479088,0.0,26.37216828479088,0.0,78.84327203901185,78.84327203901185,0.0,78.84327203901185,0.0,0.0,93.85113268603715
4,0.1543,0.251,0.105,52.564441701003695,52.564441701003695,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603695,58.0,0.6179999999651682,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,52.564441701003695,1.0,-5.435558298996362,24.76815227685099,0.0,0.0,0.0,24.76815227685099,93.85113268603695,-26.372168284788795,0.0,26.372168284788795,0.0,52.564441701003695,52.564441701003695,0.0,52.564441701003695,0.0,0.0,93.85113268603695
5,0.1543,0.251,0.105,53.74511470823451,53.74511470823451,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603695,58.0,0.6179999999651682,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,53.74511470823451,1.0,-4.254885291765547,29.023037568616537,0.0,0.0,0.0,29.023037568616537,93.85113268603695,-26.372168284788795,0.0,26.372168284788795,0.0,53.74511470823451,53.74511470823451,0.0,53.74511470823451,0.0,0.0,93.85113268603695
6,0.1543,0.251,0.105,53.34195365379194,53.34195365379194,0.0,0.03415418949006244,1.0,26.372168284788682,93.85113268603703,58.0,0.6179999999651682,0.28099999999366704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,53.34195365379194,1.0,-4.658046346208032,33.68108391482457,0.0,0.0,0.0,33.68108391482457,93.85113268603703,-26.372168284788682,0.0,26.372168284788682,0.0,53.34195365379194,53.34195365379194,0.0,53.34195365379194,0.0,0.0,93.85113268603703
7,0.1543,0.251,0.105,59.46833116306642,59.46833116306642,0.0,0.03415418949006244,1.0,26.37216828478878,93.85113268603698,58.0,0.617999999965168,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,59.46833116306642,1.0,1.4683311630663596,32.21275275175821,0.0,0.0,0.0,32.21275275175821,93.85113268603698,-26.37216828478878,0.0,26.37216828478878,0.0,59.46833116306642,59.46833116306642,0.0,59.46833116306642,0.0,0.0,93.85113268603698
8,0.1543,0.251,0.105,62.30645178375323,62.30645178375323,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603695,58.0,0.617999999965168,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,62.30645178375323,1.0,4.306451783753175,27.906300968005034,0.0,0.0,0.0,27.906300968005034,93.85113268603695,-26.372168284788795,0.0,26.372168284788795,0.0,62.30645178375323,62.30645178375323,0.0,62.30645178375323,0.0,0.0,93.85113268603695
9,0.1543,0.251,0.105,59.76534098525209,59.76534098525209,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603698,58.0,0.617999999965168,0.2809999999936669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,59.76534098525209,1.0,1.765340985252017,26.140959982753024,0.0,0.0,0.0,26.140959982753024,93.85113268603698,-26.372168284788795,0.0,26.372168284788795,0.0,59.76534098525209,59.76534098525209,0.0,59.76534098525209,0.0,0.0,93.85113268603698
10,0.1543,0.251,0.105,53.0111979932729,53.0111979932729,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603695,58.0,0.617999999965168,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,53.0111979932729,1.0,-4.9888020067271555,31.12976198948018,0.0,0.0,0.0,31.12976198948018,93.85113268603695,-26.372168284788795,0.0,26.372168284788795,0.0,53.0111979932729,53.0111979932729,0.0,53.0111979932729,0.0,0.0,93.85113268603695
