t,Scenario7.GAS_PRICE,Scenario7.POWER_PRICE,Scenario7.HEAT_PRICE,Scenario7.heat_demand,Scenario7.heat_demand_scenario,Scenario7.delta_heat_demand,Scenario7.probability,Scenario7.chp1.bin,Scenario7.chp1.power,Scenario7.chp1.gas,Scenario7.chp1.heat,Scenario7.chp1.eta_th,Scenario7.chp1.eta_el,Scenario7.chp1.y1,Scenario7.chp1.y2,Scenario7.boiler1.bin,Scenario7.boiler1.heat,Scenario7.boiler1.gas,Scenario7.boiler1.eta_th,Scenario7.boiler1.y1,Scenario7.boiler1.y2,Scenario7.heat_storage1.heat_charge,Scenario7.heat_storage1.bin_charge,Scenario7.heat_storage1.heat_discharge,Scenario7.heat_storage1.bin_discharge,Scenario7.heat_storage1.heat_balance,Scenario7.heat_storage1.heat_capacity,Scenario7.heat_storage1.x_positiv,Scenario7.ngas_grid.gas_balance,Scenario7.power_grid.power_balance,Scenario7.power_grid.power_supply,Scenario7.power_grid.power_feedin,Scenario7.heat_grid.heat_balance,Scenario7.heat_grid.heat_supply,Scenario7.heat_grid.heat_feedin,Scenario7.arc03_expanded.heat,Scenario7.arc04_expanded.heat,Scenario7.arc05_expanded.gas,Scenario7.arc06_expanded.gas
1,0.1543,0.251,0.105,86.89020582132288,52.7139022367997,-34.17630358452318,0.00012178508437138577,1.0,26.372168284790135,93.85113268603627,58.0,0.6179999999651697,0.2810000000106162,1.0,0.0,1.0,86.89020582132288,79.91063924673442,1.0876764245492014,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,58.0,0.0,173.76177193277067,-26.372168284790135,0.0,26.372168284790135,0.0,86.89020582132288,86.89020582132288,0.0,86.89020582132288,79.91063924673442,93.85113268603627
2,0.1543,0.251,0.105,102.67012913651094,49.744731320196735,-52.9253978163142,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.67012913651094,94.86534409130634,1.0846554932839063,1.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,0.0,94.86534409130634,0.0,0.0,0.0,0.0,102.67012913651094,102.67012913651094,0.0,102.67012913651094,94.86534409130634,0.0
3,0.1543,0.251,0.105,197.10818009752964,270.0753095429477,72.96712944541807,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,23.10818009752964,1.0,23.10818009752964,34.89181990246998,72.96712944541807,162.46498599439482,0.0,0.0,0.0,0.0,197.10818009752964,197.10818009752964,23.10818009752964,174.0,162.46498599439482,0.0
4,0.1543,0.251,0.105,131.41110425250923,212.49602675723335,81.08492250472412,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.41110425250923,122.10329647040626,1.079153279579267,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,81.08492250472412,122.10329647040626,0.0,0.0,0.0,0.0,131.41110425250923,131.41110425250923,0.0,131.41110425250923,122.10329647040626,0.0
5,0.1543,0.251,0.105,134.36278677058627,139.02475026467286,4.661963494086592,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.36278677058627,124.90061937059039,1.0785882052233289,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,4.661963494086592,124.90061937059039,0.0,0.0,0.0,0.0,134.36278677058627,134.36278677058627,0.0,134.36278677058627,124.90061937059039,0.0
6,0.1543,0.251,0.105,133.35488413447985,156.4545691895976,23.09968505511776,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.35488413447985,123.94542547427214,1.0787811595568177,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,23.09968505511776,123.94542547427214,0.0,0.0,0.0,0.0,133.35488413447985,133.35488413447985,0.0,133.35488413447985,123.94542547427214,0.0
7,0.1543,0.251,0.105,148.67082790766605,137.00530329106175,-11.665524616604301,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.67082790766605,138.46041480401144,1.075849053203843,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,138.46041480401144,0.0,0.0,0.0,0.0,148.67082790766605,148.67082790766605,0.0,148.67082790766605,138.46041480401144,0.0
8,0.1543,0.251,0.105,155.76612945938308,120.32240239695605,-35.44372706242703,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.76612945938308,145.1846642423489,1.0744907184473205,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,145.1846642423489,0.0,0.0,0.0,0.0,155.76612945938308,155.76612945938308,0.0,155.76612945938308,145.1846642423489,0.0
9,0.1543,0.251,0.105,149.41335246313022,120.22053851681103,-29.19281394631919,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.41335246313022,139.16410869054167,1.0757069032326392,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,139.16410869054167,0.0,0.0,0.0,0.0,149.41335246313022,149.41335246313022,0.0,149.41335246313022,139.16410869054167,0.0
10,0.1543,0.251,0.105,132.52799498318225,93.55047952641544,-38.97751545676681,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.52799498318225,123.16177887790802,1.0789394604078544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,123.16177887790802,0.0,0.0,0.0,0.0,132.52799498318225,132.52799498318225,0.0,132.52799498318225,123.16177887790802,0.0
11,0.1543,0.251,0.105,128.1881334012233,83.8455374443859,-44.3425959568374,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.1881334012233,119.04887238728989,1.079770289764761,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,119.04887238728989,0.0,0.0,0.0,0.0,128.1881334012233,128.1881334012233,0.0,128.1881334012233,119.04887238728989,0.0
12,0.1543,0.251,0.105,123.8851574175104,65.27362472317373,-58.611532694336674,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.8851574175104,114.9709225453048,1.080594057689571,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,114.9709225453048,0.0,0.0,0.0,0.0,123.8851574175104,123.8851574175104,0.0,123.8851574175104,114.9709225453048,0.0
13,0.1543,0.251,0.105,120.24610785605115,180.74022816423917,60.494120308188016,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.24610785605115,111.52217878277891,1.0812907225830934,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,60.494120308188016,111.52217878277891,0.0,0.0,0.0,0.0,120.24610785605115,120.24610785605115,0.0,120.24610785605115,111.52217878277891,0.0
14,0.1543,0.251,0.105,129.2256067900492,118.18886698711142,-11.036739802937774,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.2256067900492,120.03209061998282,1.079571674363747,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,120.03209061998282,0.0,0.0,0.0,0.0,129.2256067900492,129.2256067900492,0.0,129.2256067900492,120.03209061998282,0.0
15,0.1543,0.251,0.105,144.84779804164918,105.21741226223426,-39.63038577941492,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.84779804164918,134.8373120730091,1.076580939552067,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,134.8373120730091,0.0,0.0,0.0,0.0,144.84779804164918,144.84779804164918,0.0,144.84779804164918,134.8373120730091,0.0
16,0.1543,0.251,0.105,166.56653578784764,125.81984091460234,-40.7466948732453,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.56653578784764,155.4202582701206,1.072423073091646,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,155.4202582701206,0.0,0.0,0.0,0.0,166.56653578784764,166.56653578784764,0.0,166.56653578784764,155.4202582701206,0.0
17,0.1543,0.251,0.105,169.65940464198837,162.38762462254167,-7.271780019446709,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.65940464198837,158.35138410088592,1.07183096982002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,158.35138410088592,0.0,0.0,0.0,0.0,169.65940464198837,169.65940464198837,0.0,169.65940464198837,158.35138410088592,0.0
18,0.1543,0.251,0.105,180.98217387350823,176.63372345620172,-4.348450417306509,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,6.982173873508231,1.0,6.982173873508231,27.909646028961753,0.0,162.46498599439482,0.0,0.0,0.0,0.0,180.98217387350823,180.98217387350823,6.982173873508231,174.0,162.46498599439482,0.0
19,0.1543,0.251,0.105,159.72915392902087,162.85261967291171,3.123465743890847,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.72915392902087,148.9404404936952,1.0737320313303853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.909646028961753,3.123465743890847,148.9404404936952,0.0,0.0,0.0,0.0,159.72915392902087,159.72915392902087,0.0,159.72915392902087,148.9404404936952,0.0
20,0.1543,0.251,0.105,141.17185343819725,114.93754536051581,-26.234308077681433,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.95808203313328,130.20330605025788,1.0775170338329765,1.0,0.0,0.0,1.0,1.2137714050639659,1.0,1.2137714050639659,26.695874623897808,0.0,130.20330605025788,0.0,0.0,0.0,0.0,141.17185343819725,141.17185343819725,1.2137714050639659,139.95808203313328,130.20330605025788,0.0
21,0.1543,0.251,0.105,103.37569949235706,64.89301075562557,-38.48268873673149,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.37569949235706,95.53401631537238,1.0845204178779448,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,0.0,95.53401631537238,0.0,0.0,0.0,0.0,103.37569949235706,103.37569949235706,0.0,103.37569949235706,95.53401631537238,0.0
22,0.1543,0.251,0.105,108.05637359730451,71.69331323069403,-36.36306036661048,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.05637359730451,99.96991237867881,1.083624342880376,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,0.0,99.96991237867881,0.0,0.0,0.0,0.0,108.05637359730451,108.05637359730451,0.0,108.05637359730451,99.96991237867881,0.0
23,0.1543,0.251,0.105,106.48752403357732,105.55681914459154,-0.9307048889857725,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.48752403357732,98.48310653669516,1.0839246857022609,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,0.0,98.48310653669516,0.0,0.0,0.0,0.0,106.48752403357732,106.48752403357732,0.0,106.48752403357732,98.48310653669516,0.0
24,0.1543,0.251,0.105,111.895874623898,73.04324947358121,-38.85262515031678,0.00012178508437138577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.308823529409,1.0879999999879681,1.0,0.0,0.0,1.0,26.695874623897808,1.0,26.695874623897808,0.0,0.0,78.308823529409,0.0,0.0,0.0,0.0,111.895874623898,111.895874623898,26.695874623897808,85.2,78.308823529409,0.0
