Scenario,ObjectiveValue,Probability
Scenario1,-152.9854384883286,0.13587392875616722
Scenario2,-154.684293298569,0.08248585944326627
Scenario3,-153.00706207569257,0.12754398899636357
Scenario4,-155.0174455551246,0.1945252972852267
Scenario5,-152.90203349700016,0.0812494619506088
Scenario6,-154.47303648687665,0.10886112103020155
Scenario7,-153.8110933632451,0.059450411309355494
Scenario8,-154.17644512237482,0.06650284136839005
Scenario9,-154.2056867835893,0.08172764622538647
Scenario10,-153.55056109629288,0.06177944363503386
