t,heat_demand
1,86.89020582132288
2,102.67012913651094
3,197.10818009752964
4,131.41110425250923
5,134.36278677058627
6,133.35488413447985
7,148.67082790766605
8,155.76612945938308
9,149.41335246313022
10,132.52799498318225
11,128.1881334012233
12,123.8851574175104
13,120.24610785605115
14,129.2256067900492
15,144.84779804164918
16,166.56653578784764
17,169.65940464198837
18,180.98217387350823
19,159.72915392902087
20,141.17185343819725
21,103.37569949235706
22,108.05637359730451
23,106.48752403357732
24,111.895874623898
