t  ,Scenario2.GAS_PRICE ,Scenario2.POWER_PRICE ,Scenario2.HEAT_PRICE ,Scenario2.heat_demand ,Scenario2.heat_demand_scenario ,Scenario2.delta_heat_demand ,Scenario2.probability ,Scenario2.chp1.bin ,Scenario2.chp1.power ,Scenario2.chp1.gas ,Scenario2.chp1.heat ,Scenario2.chp1.eta_th ,Scenario2.chp1.eta_el ,Scenario2.chp1.y1 ,Scenario2.chp1.y2 ,Scenario2.boiler1.bin ,Scenario2.boiler1.heat ,Scenario2.boiler1.gas ,Scenario2.boiler1.eta_th ,Scenario2.boiler1.y1 ,Scenario2.boiler1.y2 ,Scenario2.heat_storage1.heat_charge ,Scenario2.heat_storage1.bin_charge ,Scenario2.heat_storage1.heat_discharge ,Scenario2.heat_storage1.bin_discharge ,Scenario2.heat_storage1.heat_balance ,Scenario2.heat_storage1.heat_capacity ,Scenario2.heat_storage1.dispatch ,Scenario2.heat_storage1.dispatch_delta_heat_charge ,Scenario2.heat_storage1.dispatch_delta_heat_discharge ,Scenario2.heat_storage1.dispatch_heat_capacity ,Scenario2.ngas_grid.gas_balance ,Scenario2.power_grid.power_balance ,Scenario2.power_grid.power_supply ,Scenario2.power_grid.power_feedin ,Scenario2.heat_grid.heat_balance ,Scenario2.heat_grid.heat_supply ,Scenario2.heat_grid.heat_feedin ,Scenario2.heat_grid.dispatch_heat_feedin ,Scenario2.arc03_expanded.heat ,Scenario2.arc04_expanded.heat ,Scenario2.arc05_expanded.gas ,Scenario2.arc06_expanded.gas
 1 ,             0.1543 ,                0.251 ,               0.105 ,   34.75608232852915  ,            34.356082328529155 ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.37216828479055  , 93.8511326860359  ,               58.0 ,   0.6179999999651684 ,  0.28099999972619116 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    34.75608232852915  ,                                  1.0 ,-23.243917671470847                  ,                   23.243917671470847 ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            24.043917671470844 ,              93.8511326860359  ,-26.37216828479055                 ,                              0.0 ,               26.37216828479055  ,                             0.0 ,             34.75608232852915  ,             34.75608232852915  ,                                     0.4 ,           34.75608232852915  ,                          0.0 ,                         0.0 ,           93.8511326860359
 2 ,             0.1543 ,                0.251 ,               0.105 ,   41.068051654604375 ,            40.668051654604376 ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.37216828479088  , 93.85113268603715 ,               58.0 ,   0.6179999999651684 ,  0.28099999999366715 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    41.068051654604375 ,                                  1.0 ,-16.931948345395625                  ,                   40.17586601686648  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            41.77586601686647  ,              93.85113268603715 ,-26.37216828479088                 ,                              0.0 ,               26.37216828479088  ,                             0.0 ,             41.068051654604375 ,             41.068051654604375 ,                                     0.4 ,           41.068051654604375 ,                          0.0 ,                         0.0 ,           93.85113268603715
 3 ,             0.1543 ,                0.251 ,               0.105 ,   78.84327203901185  ,            78.44327203901186  ,         0.3999999999999915 ,0.0021396544994423915 ,               1.0 ,  26.37216828479088  , 93.85113268603715 ,               58.0 ,   0.6179999999651684 ,  0.28099999999366715 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    78.84327203901185  ,                                  1.0 ,20.84327203901185                    ,                   19.33259397785463  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            21.732593977854606 ,              93.85113268603715 ,-26.37216828479088                 ,                              0.0 ,               26.37216828479088  ,                             0.0 ,             78.84327203901185  ,             78.84327203901185  ,                                     0.4 ,           78.84327203901185  ,                          0.0 ,                         0.0 ,           93.85113268603715
 4 ,             0.1543 ,                0.251 ,               0.105 ,   52.564441701003695 ,            52.164441701003696 ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    52.564441701003695 ,                                  1.0 ,-5.435558298996362                   ,                   24.76815227685099  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            27.968152276850965 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             52.564441701003695 ,             52.564441701003695 ,                                     0.4 ,           52.564441701003695 ,                          0.0 ,                         0.0 ,           93.85113268603695
 5 ,             0.1543 ,                0.251 ,               0.105 ,   53.74511470823451  ,            53.345114708234505 ,         0.4000000000000057 ,0.0021396544994423915 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.74511470823451  ,                                  1.0 ,-4.254885291765547                   ,                   29.023037568616537 ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            33.02303756861652  ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             53.74511470823451  ,             53.74511470823451  ,                                     0.4 ,           53.74511470823451  ,                          0.0 ,                         0.0 ,           93.85113268603695
 6 ,             0.1543 ,                0.251 ,               0.105 ,   53.34195365379194  ,            52.94195365379194  ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.372168284788682 , 93.85113268603703 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366704 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.34195365379194  ,                                  1.0 ,-4.658046346208032                   ,                   33.68108391482457  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            38.48108391482455  ,              93.85113268603703 ,-26.372168284788682                ,                              0.0 ,               26.372168284788682 ,                             0.0 ,             53.34195365379194  ,             53.34195365379194  ,                                     0.4 ,           53.34195365379194  ,                          0.0 ,                         0.0 ,           93.85113268603703
 7 ,             0.1543 ,                0.251 ,               0.105 ,   59.46833116306642  ,            59.06833116306642  ,         0.4000000000000057 ,0.0021396544994423915 ,               1.0 ,  26.37216828478878  , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    59.46833116306642  ,                                  1.0 ,1.4683311630663596                   ,                   32.21275275175821  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            37.812752751758204 ,              93.85113268603698 ,-26.37216828478878                 ,                              0.0 ,               26.37216828478878  ,                             0.0 ,             59.46833116306642  ,             59.46833116306642  ,                                     0.4 ,           59.46833116306642  ,                          0.0 ,                         0.0 ,           93.85113268603698
 8 ,             0.1543 ,                0.251 ,               0.105 ,   62.30645178375323  ,            61.90645178375323  ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    62.30645178375323  ,                                  1.0 ,4.306451783753175                    ,                   27.906300968005034 ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            34.306300968005026 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             62.30645178375323  ,             62.30645178375323  ,                                     0.4 ,           62.30645178375323  ,                          0.0 ,                         0.0 ,           93.85113268603695
 9 ,             0.1543 ,                0.251 ,               0.105 ,   59.76534098525209  ,            59.36534098525209  ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.372168284788795 , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.2809999999936669  ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    59.76534098525209  ,                                  1.0 ,1.765340985252017                    ,                   26.140959982753024 ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            33.340959982753006 ,              93.85113268603698 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             59.76534098525209  ,             59.76534098525209  ,                                     0.4 ,           59.76534098525209  ,                          0.0 ,                         0.0 ,           93.85113268603698
10 ,             0.1543 ,                0.251 ,               0.105 ,   53.0111979932729   ,            52.6111979932729   ,         0.3999999999999986 ,0.0021396544994423915 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.0111979932729   ,                                  1.0 ,-4.9888020067271555                  ,                   31.12976198948018  ,                             0.4 ,                                               0.4 ,                                                  0.0 ,                            39.12976198948016  ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             53.0111979932729   ,             53.0111979932729   ,                                     0.4 ,           53.0111979932729   ,                          0.0 ,                         0.0 ,           93.85113268603695
