t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat,timestamp
1,0.1543,0.251,0.105,43.23253744820239,320.0,1.0,34.216882424790185,110.62226904670484,65.23253744820249,0.591239611435923,0.3077603885576507,1.0,0.0,1.0,26.37216828479044,93.85113268607932,58.0,0.6179999999942726,0.2809999999993011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,-80.0,400.0,110.62226904670484,-60.58905070958063,0.0,60.58905070958063,0.0,80.0,123.2325374482024,34.216882424790185,26.37216828479044,65.23253744820249,58.0,0.0,0.0,110.62226904670484,0.0,2023-06-14 00:00:00
2,0.1543,0.251,0.105,49.80368966421722,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.80368966421722,1.0,49.80368966421722,350.19631033578275,0.0,0.0,0.0,0.0,0.0,0.0,49.80368966421722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.80368966421722,2023-06-14 01:00:00
3,0.1543,0.251,0.105,103.23696638860196,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.23696638860156,1.0,35.23696638860156,314.9593439471812,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,103.23696638860196,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,35.23696638860156,2023-06-14 02:00:00
4,0.1543,0.251,0.105,67.01630690821528,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836930917851054,1.0,0.0,0.0,-0.9836930917851054,315.9430370389663,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.9836930917851054,68.0,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,0.0,2023-06-14 03:00:00
5,0.1543,0.251,0.105,76.35427735256178,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.354277352561382,1.0,8.354277352561382,307.5887596864049,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,76.35427735256178,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,8.354277352561382,2023-06-14 04:00:00
6,0.1543,0.251,0.105,71.5362317258457,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.536231725845297,1.0,3.536231725845297,304.0525279605596,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,71.5362317258457,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,3.536231725845297,2023-06-14 05:00:00
7,0.1543,0.251,0.105,71.12055876569818,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12055876569778,1.0,3.12055876569778,300.93196919486184,0.0,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,71.12055876569818,0.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,3.12055876569778,2023-06-14 06:00:00
8,0.1543,0.251,0.105,63.4581086930931,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027678,117.03958691910152,68.0,0.5809999999942717,0.3179999999993034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541891306907296,1.0,0.0,0.0,-4.541891306907296,305.47386050176914,0.0,-37.21858864027678,0.0,37.21858864027678,0.0,4.541891306907296,68.0,0.0,37.21858864027678,0.0,68.0,0.0,0.0,0.0,0.0,2023-06-14 07:00:00
9,0.1543,0.251,0.105,59.03278961511951,320.0,1.0,37.21858864027679,117.03958691910154,68.0,0.5809999999942719,0.3179999999993036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9672103848809,1.0,0.0,0.0,-8.9672103848809,314.44107088665004,117.03958691910154,-37.21858864027679,0.0,37.21858864027679,0.0,8.9672103848809,68.0,37.21858864027679,0.0,68.0,0.0,0.0,0.0,117.03958691910154,0.0,2023-06-14 08:00:00
10,0.1543,0.251,0.105,54.294075742514494,320.0,1.0,26.372168284790547,93.85113268607957,58.0,0.6179999999942722,0.2809999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.705924257485506,1.0,0.0,0.0,-3.705924257485506,318.1469951441356,93.85113268607957,-26.372168284790547,0.0,26.372168284790547,0.0,3.705924257485506,58.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,93.85113268607957,0.0,2023-06-14 09:00:00
11,0.1543,0.251,0.105,52.668841350787744,320.0,1.0,28.51736363537455,98.4373244966106,59.97779108708343,0.6106821729720635,0.2883178270215102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.308949736295688,1.0,0.0,0.0,-7.308949736295688,325.4559448804312,98.4373244966106,-28.51736363537455,0.0,28.51736363537455,0.0,7.308949736295688,59.97779108708343,28.51736363537455,0.0,59.97779108708343,0.0,0.0,0.0,98.4373244966106,0.0,2023-06-14 10:00:00
12,0.1543,0.251,0.105,48.70991175412233,320.0,1.0,26.372168284790547,93.85113268607957,58.0,0.6179999999942722,0.2809999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29008824587767,1.0,0.0,0.0,-9.29008824587767,334.7460331263089,93.85113268607957,-26.372168284790547,0.0,26.372168284790547,0.0,9.29008824587767,58.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,93.85113268607957,0.0,2023-06-14 11:00:00
13,0.1543,0.251,0.105,49.999345836215845,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.000654163784553,1.0,0.0,0.0,-18.000654163784553,352.7466872900934,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,18.000654163784553,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 12:00:00
14,0.1543,0.251,0.105,51.8816148292385,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790547,93.85113268607957,58.0,0.6179999999942722,0.2809999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.118385170761499,1.0,0.0,0.0,-6.118385170761499,358.8650724608549,0.0,-26.372168284790547,0.0,26.372168284790547,0.0,6.118385170761499,58.0,0.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,0.0,2023-06-14 13:00:00
15,0.1543,0.251,0.105,60.66060238564516,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.339397614355244,1.0,0.0,0.0,-7.339397614355244,366.2044700752101,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,7.339397614355244,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 14:00:00
16,0.1543,0.251,0.105,67.82369884517024,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1763011548301586,1.0,0.0,0.0,-0.1763011548301586,366.3807712300403,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.1763011548301586,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 15:00:00
17,0.1543,0.251,0.105,67.33118438317842,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688156168219639,1.0,0.0,0.0,-0.6688156168219639,367.0495868468623,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.6688156168219639,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 16:00:00
18,0.1543,0.251,0.105,71.31620715613359,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3162071561331885,1.0,3.3162071561331885,363.73337969072907,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,0.0,71.31620715613359,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,3.3162071561331885,2023-06-14 17:00:00
19,0.1543,0.251,0.105,63.16704883271753,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.832951167282875,1.0,0.0,0.0,-4.832951167282875,368.566330858012,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,4.832951167282875,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 18:00:00
20,0.1543,0.251,0.105,59.15634665365794,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027666,117.03958691910113,68.0,0.5809999999942698,0.3179999999993024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.843653346342442,1.0,0.0,0.0,-8.843653346342442,377.4099842043544,0.0,-37.21858864027666,0.0,37.21858864027666,0.0,8.843653346342442,68.0,0.0,37.21858864027666,0.0,68.0,0.0,0.0,0.0,0.0,2023-06-14 19:00:00
21,0.1543,0.251,0.105,42.52147957276554,320.0,1.0,26.372168284790547,93.85113268607957,58.0,0.6179999999942722,0.2809999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.478520427234455,1.0,0.0,0.0,-15.478520427234455,392.8885046315888,93.85113268607957,-26.372168284790547,0.0,26.372168284790547,0.0,15.478520427234455,58.0,26.372168284790547,0.0,58.0,0.0,0.0,0.0,93.85113268607957,0.0,2023-06-14 20:00:00
22,0.1543,0.251,0.105,42.43408019322965,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43408019322965,1.0,42.43408019322965,350.4544244383592,0.0,0.0,0.0,0.0,0.0,0.0,42.43408019322965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43408019322965,2023-06-14 21:00:00
23,0.1543,0.251,0.105,42.82157475263628,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17842524736412,1.0,0.0,0.0,-25.17842524736412,375.6328496857233,117.03958691910134,-37.21858864027672,0.0,37.21858864027672,0.0,25.17842524736412,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910134,0.0,2023-06-14 22:00:00
24,0.1543,0.251,0.105,43.63284968572364,320.0,1.0,37.21858864027672,117.03958691910132,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36715031427676,1.0,0.0,0.0,-24.36715031427676,400.0,117.03958691910132,-37.21858864027672,0.0,37.21858864027672,0.0,24.36715031427676,68.0,37.21858864027672,0.0,68.0,0.0,0.0,0.0,117.03958691910132,0.0,2023-06-14 23:00:00
