date,Modell,Fehler [kWh]
20230316,"Deterministisches 
Modell",931.8233164546386
20230316,"Stochastisches 
Modell",710.4767712034613
20230409,"Deterministisches 
Modell",942.5050279839238
20230409,"Stochastisches 
Modell",729.7541599488268
20230410,"Deterministisches 
Modell",561.5047959200256
20230410,"Stochastisches 
Modell",325.1341192779
20230501,"Deterministisches 
Modell",195.06193661674115
20230501,"Stochastisches 
Modell",-11.717719150328321
20230515,"Deterministisches 
Modell",-27.591498270923694
20230515,"Stochastisches 
Modell",-253.66568956685978
20230619,"Deterministisches 
Modell",106.7288230868287
20230619,"Stochastisches 
Modell",-142.47831698815276
20230622,"Deterministisches 
Modell",145.14588443989373
20230622,"Stochastisches 
Modell",-109.17974549985729
20230709,"Deterministisches 
Modell",144.93025070557974
20230709,"Stochastisches 
Modell",-48.74741972253878
20230710,"Deterministisches 
Modell",151.7573386000322
20230710,"Stochastisches 
Modell",-7.974088413975778
